skills,experience,salary,location,job_interest,sector,education_level
"Illustrator, UI/UX, Photoshop",8,41693,Sidi Bel Abbès,Art & Design,Creative,Bachelor's
"UI/UX, Illustrator, Graphic Design, Creativity, 3D Modeling",15,129453,Annaba,Art & Design,Creative,No Formal Education
"CPR, EMR, Anatomy",12,133034,Skikda,Healthcare,Health,Ingénieur
"Front Desk, Event Planning, Reservation Systems, Customer Service, Food Safety",1,101093,Tizi Ouzou,Hospitality,Tourism & Hospitality,Doctorate
"React, JavaScript, Node.js",5,80301,Blida,Web Development,Information Technology,Technical Diploma
"Forensics, SIEM, Firewalls, Network Security, Penetration Testing",5,65029,Skikda,Cybersecurity,Information Technology,Bachelor's
"Assessment, Mentoring, Classroom Management, Curriculum Design, Teaching, E-Learning",8,153986,Mostaganem,Education,Education,Ingénieur
"Litigation, Negotiation, Legal Research, Case Management, Regulatory Compliance",9,59682,Biskra,Legal,Legal,High School
"Project Management, MATLAB, AutoCAD, Blueprint Reading",2,94017,Biskra,Engineering,Engineering,Master's
"SQL, Python, R",1,55815,Chlef,Data Science,Information Technology,Technical Diploma
"Java, C++, Django",7,149798,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's
"Negotiation, CRM, Sales Forecasting, Cold Calling, Lead Generation, Customer Service",5,121549,Tizi Ouzou,Sales,Business,Bachelor's
"Google Ads, Analytics, Social Media",3,114535,Tizi Ouzou,Marketing,Business,Ingénieur
"WordPress, JavaScript, Node.js, CSS, React",1,53123,Ghardaia,Web Development,Information Technology,High School
"Regulatory Compliance, Negotiation, Case Management, Litigation",2,50165,Tipaza,Legal,Legal,Doctorate
"Legal Research, Litigation, Case Management, Regulatory Compliance",3,49308,Algiers,Legal,Legal,Technical Diploma
"CRM, Sales Forecasting, Customer Service, Negotiation, Cold Calling, Lead Generation",13,65624,Mostaganem,Sales,Business,No Formal Education
"REST, Java, Django, SQL, JavaScript",8,69135,Annaba,Software Engineering,Information Technology,Bachelor's
"CRM, Cold Calling, Customer Service, Sales Forecasting, Negotiation",1,129248,Oran,Sales,Business,Doctorate
"Machine Learning, R, Pandas, TensorFlow, Python",2,96737,Tizi Ouzou,Data Science,Information Technology,High School
"Graphic Design, UI/UX, Illustrator",5,102572,Tizi Ouzou,Art & Design,Creative,Ingénieur
"Tractor Operation, Pest Control, Irrigation",3,69418,Setif,Agriculture,Agriculture,Bachelor's
"Forensics, Firewalls, Ethical Hacking, SIEM, Network Security",14,108823,Chlef,Cybersecurity,Information Technology,Technical Diploma
"Sales Forecasting, Lead Generation, Cold Calling",3,81404,Oran,Sales,Business,Technical Diploma
"Inventory Management, Warehouse Ops, Supply Chain, Fleet Management, Routing",1,155914,Chlef,Logistics,Supply Chain,Bachelor's
"SQL, Spring, Python, JavaScript, C++, Git",7,115790,Oran,Software Engineering,Information Technology,High School
"Inventory Management, Warehouse Ops, Supply Chain, Routing, Fleet Management",12,84490,Ghardaia,Logistics,Supply Chain,Bachelor's
"Cold Calling, CRM, Lead Generation, Sales Forecasting, Customer Service, Negotiation",2,75749,Bordj Bou Arreridj,Sales,Business,High School
"Lead Generation, Cold Calling, Customer Service, Negotiation, CRM, Sales Forecasting",1,41943,Oran,Sales,Business,Ingénieur
"SEO, Analytics, Branding, Google Ads",3,130022,Skikda,Marketing,Business,Doctorate
"Event Planning, Customer Service, Reservation Systems",4,103020,Biskra,Hospitality,Tourism & Hospitality,Master's
"Creativity, 3D Modeling, Graphic Design, Photoshop, Illustrator",3,146448,Mostaganem,Art & Design,Creative,Doctorate
"Git, Spring, C++",5,88623,Blida,Software Engineering,Information Technology,Bachelor's
"Inventory Management, Warehouse Ops, Fleet Management",4,119572,Batna,Logistics,Supply Chain,Bachelor's
"Customer Service, Event Planning, Front Desk, Food Safety",2,55657,Algiers,Hospitality,Tourism & Hospitality,Bachelor's
"JavaScript, HTML, Node.js, React, Responsive Design",5,143250,Relizane,Web Development,Information Technology,Technical Diploma
"Pest Control, Tractor Operation, Crop Management, Agro-tech, Soil Testing, Irrigation",1,143794,Oran,Agriculture,Agriculture,Doctorate
"Analytics, Copywriting, Google Ads, Content Creation, Social Media, Branding",1,104074,Oran,Marketing,Business,High School
"Lead Generation, Cold Calling, Sales Forecasting, CRM, Customer Service, Negotiation",7,76668,Tlemcen,Sales,Business,High School
"Pest Control, Irrigation, Soil Testing, Tractor Operation",2,108755,Tizi Ouzou,Agriculture,Agriculture,Ingénieur
"Sales Forecasting, Cold Calling, Negotiation, Customer Service, CRM",3,99939,Biskra,Sales,Business,Bachelor's
"Soil Testing, Crop Management, Tractor Operation, Pest Control, Agro-tech, Irrigation",4,52971,Bordj Bou Arreridj,Agriculture,Agriculture,Doctorate
"SolidWorks, MATLAB, Blueprint Reading",1,189678,Tipaza,Engineering,Engineering,Bachelor's
"SIEM, Network Security, Forensics",3,68809,Mostaganem,Cybersecurity,Information Technology,Doctorate
"Machine Learning, Statistics, Python",9,132488,Constantine,Data Science,Information Technology,Technical Diploma
"Windows Server, Scripting, Networking, Linux, Security, Virtualization",7,49236,Algiers,System Administration,Information Technology,Technical Diploma
"Plumbing, Site Management, Masonry, Carpentry",13,152192,Biskra,Construction,Construction,No Formal Education
"Fleet Management, Routing, Warehouse Ops",4,114896,Bejaia,Logistics,Supply Chain,High School
"Irrigation, Pest Control, Agro-tech, Crop Management, Soil Testing",5,80381,Sidi Bel Abbès,Agriculture,Agriculture,Doctorate
"Python, Statistics, TensorFlow",9,78065,Biskra,Data Science,Information Technology,High School
"Copywriting, Content Creation, Analytics",4,130715,Sidi Bel Abbès,Marketing,Business,Master's
"Supply Chain, Inventory Management, Fleet Management, Warehouse Ops",7,43046,Setif,Logistics,Supply Chain,Technical Diploma
"Supply Chain, Inventory Management, Routing, Warehouse Ops",1,113161,Annaba,Logistics,Supply Chain,Doctorate
"3D Modeling, UI/UX, Creativity, Graphic Design",3,136534,Tipaza,Art & Design,Creative,Master's
"Accounting, Excel, Risk Management, Budgeting, Financial Analysis, Investment",10,94991,Oran,Finance,Business,Master's
"React, WordPress, HTML, Responsive Design, Node.js, JavaScript",1,67781,Setif,Web Development,Information Technology,Master's
"REST, Django, JavaScript",1,74965,Constantine,Software Engineering,Information Technology,Master's
"Teaching, Classroom Management, E-Learning, Assessment, Curriculum Design, Mentoring",4,67533,Chlef,Education,Education,High School
"Scripting, Security, Linux",1,122959,Tlemcen,System Administration,Information Technology,Technical Diploma
"Warehouse Ops, Inventory Management, Routing",3,132404,Ouargla,Logistics,Supply Chain,Master's
"Copywriting, Content Creation, SEO",2,60790,Tizi Ouzou,Marketing,Business,Doctorate
"Spring, C++, Git",1,51137,Ouargla,Software Engineering,Information Technology,Ingénieur
"Accounting, Excel, Risk Management, Auditing, Budgeting",2,184373,Chlef,Finance,Business,Doctorate
"CRM, Cold Calling, Customer Service",2,133791,Skikda,Sales,Business,Doctorate
"Case Management, Contracts, Litigation",5,48267,Constantine,Legal,Legal,Master's
"Negotiation, Lead Generation, Customer Service, Cold Calling",5,71326,Ghardaia,Sales,Business,Doctorate
"Irrigation, Pest Control, Agro-tech",15,73362,Bordj Bou Arreridj,Agriculture,Agriculture,Ingénieur
"Forensics, Ethical Hacking, SIEM, Firewalls",5,102520,M'Sila,Cybersecurity,Information Technology,Master's
"Supply Chain, Warehouse Ops, Inventory Management, Fleet Management, Routing",14,97259,Ouargla,Logistics,Supply Chain,Doctorate
"Plumbing, Site Management, Safety Procedures, Carpentry",3,129762,Sidi Bel Abbès,Construction,Construction,Doctorate
"Classroom Management, Curriculum Design, Mentoring, Assessment, Teaching",2,114577,Bordj Bou Arreridj,Education,Education,Master's
"Pandas, R, TensorFlow, Python",5,82316,Constantine,Data Science,Information Technology,Technical Diploma
"Supply Chain, Inventory Management, Fleet Management, Warehouse Ops",1,73289,Batna,Logistics,Supply Chain,Ingénieur
"Python, C++, JavaScript, Git",1,159969,Sidi Bel Abbès,Software Engineering,Information Technology,Doctorate
"SQL, TensorFlow, R",2,182305,Setif,Data Science,Information Technology,No Formal Education
"Financial Analysis, Excel, Budgeting, Investment, Risk Management",1,72695,Oran,Finance,Business,Bachelor's
"Creativity, UI/UX, Photoshop",1,110543,Setif,Art & Design,Creative,No Formal Education
"Cold Calling, Negotiation, Sales Forecasting, CRM, Lead Generation",3,79857,Sidi Bel Abbès,Sales,Business,Master's
"Assessment, Teaching, Classroom Management",15,101424,Sidi Bel Abbès,Education,Education,No Formal Education
"Litigation, Legal Research, Regulatory Compliance, Negotiation, Contracts, Case Management",11,37709,Setif,Legal,Legal,Doctorate
"Google Ads, SEO, Analytics, Social Media, Branding",1,153401,Setif,Marketing,Business,Ingénieur
"Responsive Design, React, CSS, HTML, Node.js, JavaScript",9,90416,Sidi Bel Abbès,Web Development,Information Technology,No Formal Education
"REST, Java, Django",12,95906,Tizi Ouzou,Software Engineering,Information Technology,High School
"Sales Forecasting, Cold Calling, Customer Service, Lead Generation, CRM",3,36366,Bejaia,Sales,Business,Ingénieur
"SolidWorks, MATLAB, AutoCAD, Blueprint Reading",1,94811,Ghardaia,Engineering,Engineering,Technical Diploma
"Branding, Analytics, Google Ads",1,87006,Relizane,Marketing,Business,Bachelor's
"Security, Virtualization, Networking, Windows Server",13,148832,Oran,System Administration,Information Technology,Bachelor's
"UI/UX, Graphic Design, Illustrator, 3D Modeling, Photoshop",2,175452,Annaba,Art & Design,Creative,No Formal Education
"Budgeting, Financial Analysis, Accounting",4,77306,Tizi Ouzou,Finance,Business,No Formal Education
"Network Security, Penetration Testing, Firewalls, SIEM, Forensics, Ethical Hacking",7,72840,Tlemcen,Cybersecurity,Information Technology,Master's
"Spring, REST, Git",1,113440,Oran,Software Engineering,Information Technology,Technical Diploma
"Django, Git, Java",1,78928,Skikda,Software Engineering,Information Technology,Doctorate
"Curriculum Design, Teaching, E-Learning, Mentoring",12,42395,Tlemcen,Education,Education,Master's
"Graphic Design, 3D Modeling, Illustrator",3,50962,Tlemcen,Art & Design,Creative,No Formal Education
"Accounting, Investment, Budgeting, Financial Analysis, Auditing, Risk Management",6,74526,Sidi Bel Abbès,Finance,Business,Bachelor's
"Tractor Operation, Crop Management, Irrigation, Agro-tech",15,113326,Setif,Agriculture,Agriculture,No Formal Education
"Customer Service, Negotiation, Cold Calling, Sales Forecasting, CRM",1,154226,Chlef,Sales,Business,Master's
"AutoCAD, Design, SolidWorks, MATLAB",13,77679,Ghardaia,Engineering,Engineering,Technical Diploma
"Litigation, Legal Research, Regulatory Compliance",11,66177,Skikda,Legal,Legal,Doctorate
"3D Modeling, Photoshop, Illustrator, UI/UX, Creativity, Graphic Design",1,136165,Tlemcen,Art & Design,Creative,Bachelor's
"Excel, Risk Management, Financial Analysis, Auditing",11,91682,Oran,Finance,Business,Technical Diploma
"Auditing, Excel, Financial Analysis",1,79003,Skikda,Finance,Business,High School
"Branding, Analytics, Social Media, SEO, Content Creation, Google Ads",3,91457,Sidi Bel Abbès,Marketing,Business,High School
"Creativity, UI/UX, Illustrator, 3D Modeling, Photoshop, Graphic Design",2,134758,Chlef,Art & Design,Creative,High School
"Forensics, Firewalls, Ethical Hacking, Penetration Testing, SIEM",4,108660,Ghardaia,Cybersecurity,Information Technology,No Formal Education
"Excel, Auditing, Financial Analysis",2,116179,Skikda,Finance,Business,Doctorate
"Firewalls, SIEM, Network Security, Ethical Hacking, Forensics",3,137273,Algiers,Cybersecurity,Information Technology,Master's
"SQL, Python, Machine Learning, Data Visualization, Statistics, Pandas",4,35946,Ouargla,Data Science,Information Technology,Master's
"Java, Spring, REST, Django, SQL",2,88833,Skikda,Software Engineering,Information Technology,Technical Diploma
"Agro-tech, Irrigation, Soil Testing, Crop Management, Pest Control, Tractor Operation",15,81952,Sidi Bel Abbès,Agriculture,Agriculture,Technical Diploma
"Crop Management, Agro-tech, Soil Testing, Tractor Operation, Pest Control",10,132133,Constantine,Agriculture,Agriculture,High School
"Google Ads, Social Media, Content Creation, Branding",6,110581,Oran,Marketing,Business,Technical Diploma
"Java, Python, Django, Git, JavaScript, Spring",2,94295,Ouargla,Software Engineering,Information Technology,Master's
"Supply Chain, Warehouse Ops, Inventory Management, Routing, Fleet Management",1,104786,Bejaia,Logistics,Supply Chain,Master's
"Anatomy, Patient Care, Medical Terminology",6,42472,Chlef,Healthcare,Health,Ingénieur
"CRM, Sales Forecasting, Negotiation, Cold Calling, Customer Service",5,90487,Ghardaia,Sales,Business,High School
"CRM, Sales Forecasting, Cold Calling",1,107579,Bejaia,Sales,Business,Master's
"Excel, Investment, Budgeting, Financial Analysis, Risk Management",12,133524,Skikda,Finance,Business,Master's
"Warehouse Ops, Supply Chain, Inventory Management, Routing",2,57080,Annaba,Logistics,Supply Chain,Technical Diploma
"Negotiation, Sales Forecasting, CRM",1,181284,Batna,Sales,Business,High School
"CPR, Phlebotomy, EMR, Anatomy, Patient Care, Medical Terminology",1,107600,Setif,Healthcare,Health,No Formal Education
"TensorFlow, SQL, R",2,167310,Tizi Ouzou,Data Science,Information Technology,Bachelor's
"Warehouse Ops, Inventory Management, Routing",12,61003,Constantine,Logistics,Supply Chain,No Formal Education
"Plumbing, Masonry, Carpentry, Safety Procedures, Blueprint Reading, Site Management",4,84301,M'Sila,Construction,Construction,Ingénieur
"Warehouse Ops, Supply Chain, Routing, Inventory Management",1,103780,Tlemcen,Logistics,Supply Chain,Ingénieur
"Assessment, Teaching, E-Learning",1,66759,Tipaza,Education,Education,No Formal Education
"Copywriting, Google Ads, Social Media",4,73377,Ouargla,Marketing,Business,Doctorate
"Reservation Systems, Front Desk, Customer Service, Event Planning, Food Safety",7,71457,Batna,Hospitality,Tourism & Hospitality,Bachelor's
"Virtualization, Scripting, Windows Server, Linux, Networking",11,144731,Mostaganem,System Administration,Information Technology,Technical Diploma
"Inventory Management, Fleet Management, Warehouse Ops, Supply Chain",1,63885,Setif,Logistics,Supply Chain,Doctorate
"Graphic Design, 3D Modeling, Creativity, Illustrator",1,65212,Constantine,Art & Design,Creative,Technical Diploma
"Classroom Management, Curriculum Design, E-Learning, Mentoring",6,103554,Chlef,Education,Education,Bachelor's
"Irrigation, Tractor Operation, Soil Testing, Pest Control, Crop Management",3,130757,Sidi Bel Abbès,Agriculture,Agriculture,Bachelor's
"Contracts, Regulatory Compliance, Case Management, Legal Research",1,40773,Annaba,Legal,Legal,Master's
"3D Modeling, UI/UX, Photoshop, Creativity",9,88157,Biskra,Art & Design,Creative,Bachelor's
"Food Safety, Event Planning, Front Desk, Reservation Systems",1,157425,Batna,Hospitality,Tourism & Hospitality,Master's
"SolidWorks, AutoCAD, Project Management, MATLAB",7,105478,M'Sila,Engineering,Engineering,Bachelor's
"Customer Service, Sales Forecasting, Lead Generation, CRM",7,103798,Tizi Ouzou,Sales,Business,High School
"MATLAB, Project Management, Design, AutoCAD",3,77472,Skikda,Engineering,Engineering,Technical Diploma
"Responsive Design, JavaScript, CSS, Node.js",6,82196,Ghardaia,Web Development,Information Technology,Doctorate
"Networking, Linux, Security, Scripting, Virtualization, Windows Server",4,89419,Sidi Bel Abbès,System Administration,Information Technology,Master's
"Reservation Systems, Customer Service, Food Safety, Front Desk",1,68600,Ghardaia,Hospitality,Tourism & Hospitality,Technical Diploma
"Warehouse Ops, Supply Chain, Fleet Management",8,79481,Blida,Logistics,Supply Chain,Master's
"Budgeting, Excel, Financial Analysis, Accounting",2,170978,Batna,Finance,Business,High School
"Firewalls, Network Security, Ethical Hacking, Forensics, SIEM, Penetration Testing",5,115750,Biskra,Cybersecurity,Information Technology,Bachelor's
"SIEM, Firewalls, Ethical Hacking, Forensics",8,106844,Setif,Cybersecurity,Information Technology,Ingénieur
"Auditing, Investment, Financial Analysis, Risk Management",9,175434,Algiers,Finance,Business,Bachelor's
"Networking, Linux, Scripting",1,73226,Sidi Bel Abbès,System Administration,Information Technology,Master's
"3D Modeling, Illustrator, UI/UX",2,106013,Tipaza,Art & Design,Creative,High School
"Warehouse Ops, Inventory Management, Fleet Management, Supply Chain",1,143664,Sidi Bel Abbès,Logistics,Supply Chain,Master's
"Pandas, SQL, TensorFlow, Python, Statistics",10,102856,Chlef,Data Science,Information Technology,Doctorate
"Fleet Management, Routing, Inventory Management, Warehouse Ops, Supply Chain",1,104864,Chlef,Logistics,Supply Chain,Ingénieur
"Site Management, Masonry, Blueprint Reading, Safety Procedures, Plumbing",6,134427,Biskra,Construction,Construction,Ingénieur
"Routing, Warehouse Ops, Supply Chain, Inventory Management",1,90906,Batna,Logistics,Supply Chain,Technical Diploma
"Node.js, HTML, Responsive Design, CSS",2,47299,M'Sila,Web Development,Information Technology,High School
"Security, Linux, Windows Server, Networking, Virtualization",2,126930,Batna,System Administration,Information Technology,High School
"Auditing, Financial Analysis, Excel, Risk Management, Budgeting, Investment",4,34728,Ghardaia,Finance,Business,Doctorate
"Machine Learning, SQL, R, Pandas, TensorFlow",2,86344,Constantine,Data Science,Information Technology,No Formal Education
"Anatomy, EMR, Patient Care, Phlebotomy, Medical Terminology, CPR",11,70514,Ghardaia,Healthcare,Health,No Formal Education
"Project Management, Design, SolidWorks, AutoCAD, Blueprint Reading",6,176604,Biskra,Engineering,Engineering,Technical Diploma
"HTML, Responsive Design, React, CSS, JavaScript, Node.js",9,65713,Annaba,Web Development,Information Technology,No Formal Education
"Curriculum Design, Assessment, Teaching, Mentoring, Classroom Management, E-Learning",8,172167,Setif,Education,Education,High School
"Negotiation, Contracts, Case Management, Litigation, Regulatory Compliance, Legal Research",1,70032,Oran,Legal,Legal,Bachelor's
"Reservation Systems, Customer Service, Food Safety",9,67421,M'Sila,Hospitality,Tourism & Hospitality,Master's
"Customer Service, Event Planning, Reservation Systems",1,62297,Tizi Ouzou,Hospitality,Tourism & Hospitality,Ingénieur
"Machine Learning, TensorFlow, R, Data Visualization, Pandas",1,102093,Tipaza,Data Science,Information Technology,Bachelor's
"TensorFlow, Data Visualization, R",1,76360,Relizane,Data Science,Information Technology,Doctorate
"SEO, Branding, Google Ads, Copywriting, Analytics, Social Media",5,136271,Batna,Marketing,Business,High School
"Python, Pandas, TensorFlow",3,101112,Relizane,Data Science,Information Technology,Master's
"Scripting, Networking, Windows Server, Security, Virtualization, Linux",5,100377,Tlemcen,System Administration,Information Technology,Technical Diploma
"Virtualization, Scripting, Security, Windows Server, Linux",2,69336,M'Sila,System Administration,Information Technology,Doctorate
"Forensics, SIEM, Firewalls, Network Security, Ethical Hacking, Penetration Testing",4,96375,Tizi Ouzou,Cybersecurity,Information Technology,Bachelor's
"Project Management, Design, AutoCAD, MATLAB, Blueprint Reading, SolidWorks",9,139962,Tlemcen,Engineering,Engineering,Master's
"Creativity, 3D Modeling, Illustrator, Photoshop, UI/UX, Graphic Design",1,61385,Algiers,Art & Design,Creative,No Formal Education
"Blueprint Reading, Site Management, Plumbing, Safety Procedures, Masonry",6,116612,Batna,Construction,Construction,High School
"SolidWorks, Project Management, MATLAB, AutoCAD, Design",10,81497,Oran,Engineering,Engineering,Master's
"Teaching, Mentoring, Curriculum Design, Classroom Management, Assessment, E-Learning",5,164704,Tizi Ouzou,Education,Education,Bachelor's
"Crop Management, Pest Control, Irrigation, Agro-tech, Soil Testing, Tractor Operation",9,90397,Setif,Agriculture,Agriculture,Bachelor's
"CSS, Responsive Design, WordPress",10,82646,Biskra,Web Development,Information Technology,No Formal Education
"Responsive Design, HTML, WordPress",1,81363,Bordj Bou Arreridj,Web Development,Information Technology,Master's
"WordPress, Responsive Design, HTML, Node.js, JavaScript",12,103836,Oran,Web Development,Information Technology,Technical Diploma
"Network Security, Firewalls, Forensics, Penetration Testing, Ethical Hacking, SIEM",7,80179,Relizane,Cybersecurity,Information Technology,Doctorate
"Security, Virtualization, Windows Server",14,118038,Annaba,System Administration,Information Technology,High School
"Pest Control, Crop Management, Soil Testing",1,64258,Batna,Agriculture,Agriculture,Ingénieur
"Copywriting, Analytics, Branding, Social Media",4,130976,Tlemcen,Marketing,Business,No Formal Education
"Cold Calling, Lead Generation, CRM, Negotiation",1,68982,Tlemcen,Sales,Business,Ingénieur
"3D Modeling, Graphic Design, Photoshop",2,98873,Blida,Art & Design,Creative,Ingénieur
"Front Desk, Reservation Systems, Food Safety",3,136548,M'Sila,Hospitality,Tourism & Hospitality,No Formal Education
"Customer Service, Event Planning, Food Safety",2,152510,Blida,Hospitality,Tourism & Hospitality,No Formal Education
"AutoCAD, Blueprint Reading, SolidWorks, Design, Project Management, MATLAB",1,109831,Relizane,Engineering,Engineering,Technical Diploma
"Medical Terminology, CPR, Phlebotomy, Patient Care",1,93386,M'Sila,Healthcare,Health,Ingénieur
"Risk Management, Accounting, Budgeting, Financial Analysis",13,84921,Bordj Bou Arreridj,Finance,Business,Master's
"Safety Procedures, Site Management, Masonry, Plumbing, Carpentry",4,90421,Tlemcen,Construction,Construction,Technical Diploma
"Front Desk, Reservation Systems, Event Planning",6,60507,Setif,Hospitality,Tourism & Hospitality,Doctorate
"Data Visualization, Statistics, R, SQL, Pandas, TensorFlow",12,190044,Ouargla,Data Science,Information Technology,High School
"UI/UX, Photoshop, Graphic Design, Illustrator, 3D Modeling",4,127621,Bejaia,Art & Design,Creative,Master's
"Security, Networking, Scripting",1,95443,Ghardaia,System Administration,Information Technology,High School
"SEO, Analytics, Google Ads, Social Media",2,159566,Bordj Bou Arreridj,Marketing,Business,Ingénieur
"Content Creation, SEO, Analytics, Branding",8,103032,Ouargla,Marketing,Business,No Formal Education
"Lead Generation, Negotiation, CRM, Sales Forecasting",8,57483,Sidi Bel Abbès,Sales,Business,High School
"Network Security, Firewalls, Forensics, Ethical Hacking, SIEM, Penetration Testing",12,182082,Sidi Bel Abbès,Cybersecurity,Information Technology,Ingénieur
"MATLAB, AutoCAD, Blueprint Reading, Project Management, Design, SolidWorks",1,150442,Batna,Engineering,Engineering,High School
"Python, Statistics, Pandas, Machine Learning, Data Visualization, TensorFlow",6,136528,Bejaia,Data Science,Information Technology,High School
"Windows Server, Security, Scripting, Linux, Virtualization, Networking",3,68281,Blida,System Administration,Information Technology,Master's
"Penetration Testing, Firewalls, Network Security, Forensics",3,116789,Algiers,Cybersecurity,Information Technology,No Formal Education
"Blueprint Reading, Project Management, MATLAB, AutoCAD",4,64261,Tlemcen,Engineering,Engineering,Master's
"Python, SQL, Git, C++, REST",14,97244,Batna,Software Engineering,Information Technology,Technical Diploma
"Pest Control, Irrigation, Soil Testing, Agro-tech, Crop Management",3,68863,Blida,Agriculture,Agriculture,No Formal Education
"Penetration Testing, Network Security, Forensics",1,114132,M'Sila,Cybersecurity,Information Technology,No Formal Education
"Project Management, Design, Blueprint Reading, MATLAB, SolidWorks, AutoCAD",3,101865,Ouargla,Engineering,Engineering,Master's
"Sales Forecasting, Lead Generation, CRM, Customer Service, Cold Calling, Negotiation",2,108744,Tizi Ouzou,Sales,Business,Master's
"Creativity, UI/UX, 3D Modeling, Graphic Design, Photoshop, Illustrator",6,61737,Tipaza,Art & Design,Creative,Ingénieur
"CSS, Responsive Design, JavaScript, HTML, Node.js",5,96735,Batna,Web Development,Information Technology,Ingénieur
"CRM, Cold Calling, Customer Service, Negotiation, Sales Forecasting",1,40654,Setif,Sales,Business,Doctorate
"CSS, WordPress, Node.js",1,177670,Algiers,Web Development,Information Technology,Doctorate
"Virtualization, Scripting, Linux, Security",1,64337,Constantine,System Administration,Information Technology,Ingénieur
"Fleet Management, Warehouse Ops, Inventory Management, Routing",1,117354,Tlemcen,Logistics,Supply Chain,No Formal Education
"Social Media, SEO, Branding, Analytics, Content Creation",7,155372,Biskra,Marketing,Business,High School
"SQL, Python, Data Visualization, TensorFlow, Pandas",8,62123,Tipaza,Data Science,Information Technology,Bachelor's
"Classroom Management, E-Learning, Teaching, Assessment",14,139831,Chlef,Education,Education,Master's
"Negotiation, Cold Calling, Lead Generation",7,117803,Constantine,Sales,Business,Doctorate
"Accounting, Risk Management, Investment, Financial Analysis",6,188560,Relizane,Finance,Business,Bachelor's
"Negotiation, Legal Research, Contracts, Litigation, Regulatory Compliance",6,108923,M'Sila,Legal,Legal,Technical Diploma
"Windows Server, Networking, Scripting",12,70641,Mostaganem,System Administration,Information Technology,Master's
"Linux, Networking, Virtualization, Windows Server, Scripting",4,118365,M'Sila,System Administration,Information Technology,Master's
"R, Pandas, Statistics, Python, Machine Learning",1,69381,Algiers,Data Science,Information Technology,Ingénieur
"Scripting, Linux, Networking, Virtualization, Windows Server, Security",2,173726,Oran,System Administration,Information Technology,Technical Diploma
"AutoCAD, SolidWorks, MATLAB",10,94969,Skikda,Engineering,Engineering,Doctorate
"Branding, Social Media, Content Creation, Analytics, Google Ads",3,92249,Tizi Ouzou,Marketing,Business,Doctorate
"Branding, Social Media, SEO, Content Creation, Analytics",6,165574,Biskra,Marketing,Business,High School
"Curriculum Design, Assessment, Classroom Management, E-Learning, Mentoring, Teaching",1,93633,Tlemcen,Education,Education,Master's
"E-Learning, Classroom Management, Teaching, Assessment",1,62054,Blida,Education,Education,Bachelor's
"E-Learning, Teaching, Mentoring",5,74861,Algiers,Education,Education,Ingénieur
"Spring, REST, JavaScript, SQL, Java",2,146262,Blida,Software Engineering,Information Technology,Master's
"Regulatory Compliance, Negotiation, Case Management, Legal Research, Litigation",14,182304,Mostaganem,Legal,Legal,High School
"3D Modeling, Illustrator, UI/UX, Graphic Design",6,160100,Batna,Art & Design,Creative,Master's
"CRM, Cold Calling, Lead Generation, Sales Forecasting, Negotiation, Customer Service",1,76247,Oran,Sales,Business,Bachelor's
"Investment, Risk Management, Excel, Auditing, Budgeting",4,127158,Annaba,Finance,Business,Ingénieur
"Warehouse Ops, Routing, Fleet Management",9,46875,Chlef,Logistics,Supply Chain,Doctorate
"Phlebotomy, EMR, CPR, Patient Care, Anatomy, Medical Terminology",1,92546,Skikda,Healthcare,Health,Technical Diploma
"Blueprint Reading, Project Management, Design, MATLAB, SolidWorks",5,115860,Annaba,Engineering,Engineering,Bachelor's
"Patient Care, EMR, Anatomy, CPR, Phlebotomy, Medical Terminology",2,121454,Sidi Bel Abbès,Healthcare,Health,Doctorate
"Linux, Windows Server, Virtualization",3,113948,Mostaganem,System Administration,Information Technology,High School
"Accounting, Auditing, Excel, Risk Management",4,131252,Ouargla,Finance,Business,Ingénieur
"MATLAB, SolidWorks, AutoCAD",5,43624,Relizane,Engineering,Engineering,High School
"Customer Service, Lead Generation, Negotiation, Cold Calling, CRM, Sales Forecasting",1,139781,Annaba,Sales,Business,Master's
"SolidWorks, Project Management, Design, AutoCAD, MATLAB",3,145137,Mostaganem,Engineering,Engineering,Bachelor's
"Responsive Design, Node.js, JavaScript, HTML",8,53208,Bordj Bou Arreridj,Web Development,Information Technology,Doctorate
"Food Safety, Front Desk, Reservation Systems, Event Planning, Customer Service",11,124091,Constantine,Hospitality,Tourism & Hospitality,High School
"Blueprint Reading, Project Management, AutoCAD, MATLAB, SolidWorks, Design",9,138670,Bordj Bou Arreridj,Engineering,Engineering,No Formal Education
"Fleet Management, Routing, Inventory Management, Supply Chain, Warehouse Ops",15,107932,Setif,Logistics,Supply Chain,Master's
"Customer Service, Cold Calling, CRM, Lead Generation, Sales Forecasting, Negotiation",4,149509,Algiers,Sales,Business,Doctorate
"Cold Calling, Negotiation, Customer Service",3,184611,M'Sila,Sales,Business,High School
"Forensics, Network Security, SIEM",12,48117,M'Sila,Cybersecurity,Information Technology,Bachelor's
"Tractor Operation, Pest Control, Soil Testing, Crop Management, Agro-tech",1,141786,M'Sila,Agriculture,Agriculture,No Formal Education
"Analytics, Google Ads, Copywriting, Social Media, SEO, Branding",11,67491,Tizi Ouzou,Marketing,Business,Ingénieur
"Negotiation, Lead Generation, Cold Calling, Sales Forecasting, Customer Service, CRM",4,168020,Ouargla,Sales,Business,No Formal Education
