job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
Export Manager,Export Operations,2025-04-15,2025-05-12,2025-06-11,Agriculture,Béchar,Ingénieur d'État,19,CDI,6,"Formation continue, Tickets restaurant, Prime de performance","French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",0,11,19,"Arabic, French",Ingénieur d'État,42900.0
Operations Manager,General Management,2025-03-29,2025-05-12,2025-06-11,Manufacturing,Béchar,Licence,15,Freelance,1,"Prime de performance, Voiture de fonction, Tickets restaurant","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",2,12,15,"Arabic, French",License,59300.0
Field Trials Manager,Agronomy Research,2025-04-05,2025-06-04,2025-07-04,Agriculture,Skikda,Doctorat,20,Freelance,10,"Assurance maladie, Tickets restaurant, Télétravail partiel","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",5,12,20,"Arabic, French",Doctorat,48100.0
Department Director,General Management,2025-04-20,2025-06-18,2025-07-18,Public Sector,Ouargla,Doctorat,20,CDD,3,"Prime de performance, Voiture de fonction, Télétravail partiel","Microsoft Office, Project Management, Report Writing, French Bilingual, Team Leadership",2,7,20,"Arabic, French",Doctorat,41100.0
Supply Chain Manager,Operations,2025-04-08,2025-05-02,2025-06-01,Aerospace & Defense,Oran,Licence,15,Alternance,7,"Crèche d'entreprise, Télétravail partiel, Prime de performance","Project Management, Report Writing, Team Leadership, Microsoft Office, French Bilingual",5,7,15,"Arabic, French",License,52500.0
Department Director,General Management,2025-03-29,2025-04-06,2025-05-06,Mining,El Oued,Master,17,CDI,9,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",4,13,17,"Arabic, French",Master,67400.0
General Director,General Management,2025-04-11,2025-04-20,2025-05-20,E-Commerce,In Salah,Doctorat,20,Alternance,1,"Tickets restaurant, Prime de performance, Épargne entreprise","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",4,7,20,"Arabic, French, English",Doctorat,67400.0
Logistics Coordinator,Export Operations,2025-04-03,2025-04-20,2025-05-20,Agriculture,Tlemcen,Master,17,Alternance,9,"Formation continue, Tickets restaurant, Épargne entreprise","French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",2,15,17,"Arabic, French",Master,67400.0
Logistics Coordinator,Operations,2025-04-19,2025-05-31,2025-06-30,Retail,Béjaïa,Licence,15,CDI,4,"Prime de performance, Épargne entreprise, Tickets restaurant","Team Leadership, French Bilingual, Report Writing, Microsoft Office, Project Management",1,9,15,"Arabic, French",License,50400.0
General Director,General Management,2025-04-04,2025-05-05,2025-06-04,Transport & Logistics,Saïda,Bac,12,Alternance,10,"Formation continue, Voiture de fonction, Assurance maladie","French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",5,3,12,"Arabic, French",Baccalaureate,40200.0
Mobile App Developer,Mobile Development,2025-03-27,2025-05-20,2025-06-19,Information Technology,Aïn Témouchent,Licence,15,Alternance,4,"Assurance maladie, Voiture de fonction, Tickets restaurant","French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",0,12,15,"Arabic, French",License,52500.0
Operations Manager,General Management,2025-04-20,2025-05-27,2025-06-26,Aerospace & Defense,Constantine,Bac,12,Alternance,7,"Formation continue, Voiture de fonction, Télétravail partiel","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",2,14,12,"Arabic, French",Baccalaureate,47200.0
Laboratory Director,Medical Research,2025-03-30,2025-04-26,2025-05-26,Healthcare,Chlef,Ingénieur d'État,19,CDD,8,"Prime de performance, Voiture de fonction, Assurance maladie","Clinical Trials, Biostatistics, Regulatory Affairs, Laboratory Management, Medical Writing, Epidemiology, Research Ethics",1,8,19,"Arabic, French",Ingénieur d'État,52900.0
Department Director,General Management,2025-04-04,2025-04-16,2025-05-16,Mining,In Salah,Ingénieur d'État,19,Alternance,15,"Crèche d'entreprise, Épargne entreprise, Assurance maladie","Team Leadership, French Bilingual, Report Writing, Microsoft Office, Project Management",3,14,19,"Arabic, French",Ingénieur d'État,48100.0
DevOps Engineer,Software Development,2025-03-27,2025-04-22,2025-05-22,Information Technology,Ghardaïa,Bac,12,CDI,15,"Télétravail partiel, Crèche d'entreprise, Tickets restaurant","CI, CD Pipelines, Python, Microservices, Spring Boot, Git, Agile Methodology, REST APIs, .NET",2,8,12,"Arabic, French",Baccalaureate,42000.0
Operations Manager,General Management,2025-04-04,2025-04-15,2025-05-15,Manufacturing,Constantine,Bac,12,Alternance,8,"Formation continue, Épargne entreprise, Voiture de fonction","Microsoft Office, Report Writing, Project Management, Team Leadership, French Bilingual",0,5,12,"Arabic, French",Baccalaureate,40800.0
Facilities Manager,Operations,2025-04-12,2025-05-05,2025-06-04,Pharmaceuticals,Béchar,Bac,12,Stage,14,"Formation continue, Assurance maladie, Tickets restaurant","French Bilingual, Report Writing, Project Management, Microsoft Office, Team Leadership",3,5,12,"Arabic, French",Baccalaureate,40200.0
Digital Banking Specialist,FinTech Innovation,2025-03-26,2025-05-11,2025-06-10,Banking & Finance,Tizi Ouzou,Ingénieur d'État,19,Freelance,3,"Formation continue, Assurance maladie, Tickets restaurant","Project Management, French Bilingual, Microsoft Office, Team Leadership, Report Writing",3,10,19,"Arabic, French",Ingénieur d'État,44600.0
Production Supervisor,Operations,2025-04-05,2025-05-08,2025-06-07,Fisheries,Tindouf,Doctorat,20,Alternance,6,"Voiture de fonction, Assurance maladie, Prime de performance","Report Writing, French Bilingual, Team Leadership, Microsoft Office, Project Management",4,11,20,"Arabic, French",Doctorat,46400.0
Operations Manager,General Management,2025-04-03,2025-04-24,2025-05-24,E-Commerce,Illizi,Licence,15,Freelance,9,"Télétravail partiel, Épargne entreprise, Crèche d'entreprise","French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",3,10,15,"Arabic, French, English",License,84200.0
Administrative Manager,General Management,2025-04-11,2025-05-12,2025-06-11,Renewable Energy,Algiers,Doctorat,20,Freelance,5,"Tickets restaurant, Voiture de fonction, Télétravail partiel","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",4,15,20,"Arabic, French",Doctorat,49900.0
Facilities Manager,Operations,2025-04-03,2025-05-05,2025-06-04,Retail,Skikda,Bac,12,Freelance,6,"Formation continue, Télétravail partiel, Assurance maladie","French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",5,4,12,"Arabic, French",Baccalaureate,41100.0
Operations Manager,General Management,2025-03-28,2025-05-14,2025-06-13,Aerospace & Defense,Mostaganem,Ingénieur d'État,19,Alternance,4,"Prime de performance, Formation continue, Épargne entreprise","Team Leadership, Project Management, Report Writing, French Bilingual, Microsoft Office",0,6,19,"Arabic, French",Ingénieur d'État,38500.0
Administrative Manager,General Management,2025-03-28,2025-04-19,2025-05-19,Transport & Logistics,Timimoun,Licence,15,Freelance,2,"Prime de performance, Tickets restaurant, Télétravail partiel","Project Management, French Bilingual, Microsoft Office, Team Leadership, Report Writing",2,9,15,"Arabic, French",License,51500.0
Project Manager,Pipeline Management,2025-04-13,2025-06-03,2025-07-03,Energy & Petroleum,Biskra,Bac,12,Alternance,14,"Prime de performance, Assurance maladie, Voiture de fonction","Project Management, French Bilingual, Team Leadership, Microsoft Office, Report Writing",5,7,12,"Arabic, French",Baccalaureate,75000.0
Project Manager,General Management,2025-04-10,2025-04-27,2025-05-27,Telecommunications,Ouargla,Bac,12,CDI,2,"Prime de performance, Télétravail partiel, Voiture de fonction","Team Leadership, French Bilingual, Project Management, Microsoft Office, Report Writing",3,5,12,"Arabic, French",Baccalaureate,40200.0
Operations Manager,Operations,2025-04-13,2025-04-26,2025-05-26,Pharmaceuticals,Tizi Ouzou,Master,17,Alternance,6,"Crèche d'entreprise, Formation continue, Épargne entreprise","French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",2,4,17,"Arabic, French",Master,53900.0
Production Supervisor,Operations,2025-04-07,2025-04-21,2025-05-21,Public Sector,Ghardaïa,Master,17,Freelance,12,"Voiture de fonction, Crèche d'entreprise, Assurance maladie","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",2,11,17,"Arabic, French",Master,62500.0
Production Supervisor,Food Processing,2025-04-03,2025-04-29,2025-05-29,Agriculture,Tlemcen,Master,17,CDI,14,"Crèche d'entreprise, Voiture de fonction, Assurance maladie","Project Management, Microsoft Office, Report Writing, Team Leadership, French Bilingual",2,13,17,"Arabic, French",Master,64900.0
Online Course Manager,E-Learning Platforms,2025-04-09,2025-05-18,2025-06-17,Education,Béchar,Doctorat,20,CDI,14,"Assurance maladie, Crèche d'entreprise, Formation continue","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",1,10,20,"Arabic, French",Doctorat,36800.0
Administrative Manager,General Management,2025-04-11,2025-04-20,2025-05-20,E-Commerce,Saïda,Bac,12,CDI,5,"Tickets restaurant, Assurance maladie, Crèche d'entreprise","Team Leadership, French Bilingual, Project Management, Microsoft Office, Report Writing",0,15,12,"Arabic, French, English",Baccalaureate,72900.0
Water Conservation Consultant,Irrigation Technology,2025-04-21,2025-06-05,2025-07-05,Agriculture,Laghouat,Bac,12,Alternance,3,"Télétravail partiel, Formation continue, Tickets restaurant","Report Writing, Team Leadership, Project Management, Microsoft Office, French Bilingual",3,7,12,"Arabic, French",Baccalaureate,42000.0
Production Supervisor,Operations,2025-03-28,2025-05-06,2025-06-05,Retail,Illizi,Ingénieur d'État,19,Alternance,8,"Prime de performance, Crèche d'entreprise, Voiture de fonction","French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",0,14,19,"Arabic, French",Ingénieur d'État,45500.0
Logistics Coordinator,Operations,2025-04-20,2025-05-04,2025-06-03,Mining,Tébessa,Licence,15,Stage,15,"Télétravail partiel, Crèche d'entreprise, Formation continue","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",0,11,15,"Arabic, French",License,51500.0
Risk Manager,Risk Analysis,2025-04-02,2025-05-07,2025-06-06,Banking & Finance,Tindouf,Licence,15,Freelance,4,"Épargne entreprise, Tickets restaurant, Assurance maladie","Project Management, Microsoft Office, Report Writing, French Bilingual, Team Leadership",5,4,15,"Arabic, French",License,49400.0
General Director,General Management,2025-04-13,2025-05-11,2025-06-10,E-Commerce,Aïn Témouchent,Doctorat,20,Stage,12,"Télétravail partiel, Épargne entreprise, Crèche d'entreprise","Project Management, Microsoft Office, Team Leadership, Report Writing, French Bilingual",5,12,20,"Arabic, French, English",Doctorat,75600.0
Production Supervisor,Operations,2025-04-20,2025-06-08,2025-07-08,Aerospace & Defense,Naama,Bac,12,CDD,5,"Prime de performance, Crèche d'entreprise, Tickets restaurant","Project Management, Team Leadership, Report Writing, Microsoft Office, French Bilingual",4,11,12,"Arabic, French",Baccalaureate,46400.0
Learning Experience Designer,E-Learning Platforms,2025-04-12,2025-05-13,2025-06-12,Education,Biskra,Ingénieur d'État,19,Alternance,11,"Crèche d'entreprise, Tickets restaurant, Assurance maladie","Report Writing, French Bilingual, Team Leadership, Microsoft Office, Project Management",5,6,19,"Arabic, French",Ingénieur d'État,36800.0
Refinery Manager,Refining & Processing,2025-04-15,2025-05-15,2025-06-14,Energy & Petroleum,Algiers,Master,17,CDD,12,"Crèche d'entreprise, Assurance maladie, Prime de performance","Report Writing, French Bilingual, Microsoft Office, Project Management, Team Leadership",4,3,17,"Arabic, French",Master,94500.0
Operations Manager,General Management,2025-03-28,2025-04-10,2025-05-10,Tourism & Hospitality,El Tarf,Ingénieur d'État,19,CDD,15,"Tickets restaurant, Épargne entreprise, Crèche d'entreprise","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",5,6,19,"Arabic, French",Ingénieur d'État,42900.0
Project Manager,General Management,2025-04-16,2025-05-07,2025-06-06,Aerospace & Defense,Chlef,Bac,12,Alternance,10,"Crèche d'entreprise, Épargne entreprise, Tickets restaurant","Team Leadership, Project Management, Microsoft Office, French Bilingual, Report Writing",1,15,12,"Arabic, French",Baccalaureate,47200.0
Project Manager,General Management,2025-04-15,2025-05-06,2025-06-05,Transport & Logistics,Illizi,Licence,15,CDD,1,"Prime de performance, Télétravail partiel, Formation continue","Microsoft Office, Report Writing, Project Management, Team Leadership, French Bilingual",0,10,15,"Arabic, French",License,50400.0
Facilities Manager,Operations,2025-04-19,2025-06-16,2025-07-16,Manufacturing,Chlef,Licence,15,CDI,3,"Formation continue, Prime de performance, Assurance maladie","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",2,12,15,"Arabic, French",License,59300.0
Facilities Manager,Operations,2025-04-11,2025-05-29,2025-06-28,Transport & Logistics,Batna,Doctorat,20,Alternance,7,"Voiture de fonction, Télétravail partiel, Épargne entreprise","Report Writing, Project Management, French Bilingual, Microsoft Office, Team Leadership",1,13,20,"Arabic, French",Doctorat,45500.0
Operations Manager,General Management,2025-04-09,2025-04-25,2025-05-25,Tourism & Hospitality,Mostaganem,Bac,12,CDI,2,"Voiture de fonction, Assurance maladie, Télétravail partiel","Project Management, French Bilingual, Microsoft Office, Report Writing, Team Leadership",4,7,12,"Arabic, French",Baccalaureate,42900.0
Production Supervisor,Operations,2025-04-06,2025-05-20,2025-06-19,Telecommunications,Tamanrasset,Bac,12,CDI,1,"Formation continue, Assurance maladie, Voiture de fonction","Project Management, Report Writing, Microsoft Office, French Bilingual, Team Leadership",3,11,12,"Arabic, French",Baccalaureate,45500.0
Administrative Manager,General Management,2025-04-18,2025-05-02,2025-06-01,Manufacturing,Batna,Licence,15,CDI,11,"Voiture de fonction, Formation continue, Assurance maladie","French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",1,10,15,"Arabic, French",License,55900.0
Administrative Manager,General Management,2025-03-27,2025-05-12,2025-06-11,Renewable Energy,Saïda,Doctorat,20,Stage,6,"Épargne entreprise, Voiture de fonction, Crèche d'entreprise","Microsoft Office, Report Writing, Project Management, Team Leadership, French Bilingual",5,5,20,"Arabic, French",Doctorat,42000.0
General Director,General Management,2025-04-23,2025-06-01,2025-07-01,Manufacturing,Illizi,Master,17,CDD,7,"Tickets restaurant, Télétravail partiel, Voiture de fonction","French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",4,6,17,"Arabic, French",Master,63800.0
Project Manager,General Management,2025-04-03,2025-05-01,2025-05-31,Telecommunications,Djanet,Bac,12,CDI,5,"Voiture de fonction, Tickets restaurant, Prime de performance","French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",1,8,12,"Arabic, French",Baccalaureate,41100.0
Department Director,General Management,2025-04-11,2025-05-06,2025-06-05,Media & Entertainment,Annaba,Bac,12,Alternance,3,"Assurance maladie, Formation continue, Voiture de fonction","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",0,11,12,"Arabic, French, English",Baccalaureate,55100.0
Project Manager,General Management,2025-04-09,2025-05-17,2025-06-16,Media & Entertainment,Ouargla,Licence,15,CDD,7,"Télétravail partiel, Prime de performance, Épargne entreprise","French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",3,3,15,"Arabic, French, English",License,59400.0
Team Leader,General Management,2025-04-11,2025-05-17,2025-06-16,Pharmaceuticals,M'sila,Master,17,Stage,11,"Assurance maladie, Prime de performance, Formation continue","Team Leadership, Project Management, Microsoft Office, French Bilingual, Report Writing",4,9,17,"Arabic, French",Master,62500.0
Department Director,General Management,2025-04-15,2025-05-03,2025-06-02,Transport & Logistics,Skikda,Doctorat,20,CDD,12,"Prime de performance, Voiture de fonction, Télétravail partiel","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",3,4,20,"Arabic, French",Doctorat,39400.0
Team Leader,General Management,2025-04-05,2025-05-15,2025-06-14,Retail,In Salah,Licence,15,Freelance,1,"Assurance maladie, Crèche d'entreprise, Télétravail partiel","Project Management, Report Writing, French Bilingual, Microsoft Office, Team Leadership",3,7,15,"Arabic, French",License,50400.0
Logistics Coordinator,Operations,2025-04-05,2025-05-19,2025-06-18,Public Sector,Sétif,Doctorat,20,Stage,13,"Crèche d'entreprise, Assurance maladie, Télétravail partiel","Team Leadership, French Bilingual, Report Writing, Project Management, Microsoft Office",5,10,20,"Arabic, French",Doctorat,46400.0
Team Leader,General Management,2025-04-20,2025-06-06,2025-07-06,E-Commerce,Ouargla,Licence,15,Stage,10,"Assurance maladie, Crèche d'entreprise, Prime de performance","Project Management, Microsoft Office, French Bilingual, Report Writing, Team Leadership",0,4,15,"Arabic, French, English",License,69300.0
Logistics Coordinator,Operations,2025-04-04,2025-05-10,2025-06-09,Media & Entertainment,Naama,Ingénieur d'État,19,CDD,13,"Télétravail partiel, Voiture de fonction, Prime de performance","French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",2,7,19,"Arabic, French, English",Ingénieur d'État,52900.0
Team Leader,General Management,2025-04-07,2025-04-21,2025-05-21,Pharmaceuticals,El Oued,Bac,12,CDD,4,"Voiture de fonction, Prime de performance, Épargne entreprise","Team Leadership, French Bilingual, Microsoft Office, Report Writing, Project Management",1,15,12,"Arabic, French",Baccalaureate,47200.0
Production Supervisor,Operations,2025-04-17,2025-05-09,2025-06-08,Telecommunications,Aïn Témouchent,Ingénieur d'État,19,CDD,13,"Assurance maladie, Voiture de fonction, Crèche d'entreprise","Microsoft Office, Project Management, French Bilingual, Report Writing, Team Leadership",4,6,19,"Arabic, French",Ingénieur d'État,42000.0
General Director,General Management,2025-04-21,2025-06-08,2025-07-08,Aerospace & Defense,Batna,Doctorat,20,Freelance,15,"Épargne entreprise, Tickets restaurant, Voiture de fonction","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",5,10,20,"Arabic, French",Doctorat,46400.0
Environmental Compliance Officer,"HSE (Health, Safety, Environment)",2025-04-16,2025-05-07,2025-06-06,Energy & Petroleum,Laghouat,Master,17,Stage,4,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise","Team Leadership, French Bilingual, Report Writing, Project Management, Microsoft Office",5,14,17,"Arabic, French",Master,119700.0
General Director,General Management,2025-04-01,2025-05-14,2025-06-13,Manufacturing,Chlef,Master,17,Stage,15,"Épargne entreprise, Formation continue, Crèche d'entreprise","Project Management, Microsoft Office, French Bilingual, Report Writing, Team Leadership",0,15,17,"Arabic, French",Master,70500.0
Systems Administrator,Cloud Infrastructure,2025-04-08,2025-04-19,2025-05-19,Information Technology,Illizi,Master,17,CDD,1,"Prime de performance, Formation continue, Assurance maladie","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",3,14,17,"Arabic, French",Master,67400.0
Operations Manager,General Management,2025-04-13,2025-06-12,2025-07-12,Manufacturing,Illizi,Master,17,CDD,9,"Assurance maladie, Prime de performance, Tickets restaurant","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",1,5,17,"Arabic, French",Master,58500.0
Security Operations Specialist,Cybersecurity,2025-03-29,2025-04-25,2025-05-25,Information Technology,In Salah,Licence,15,CDD,9,"Assurance maladie, Tickets restaurant, Épargne entreprise","Network Security, GDPR Compliance, Cryptography, Firewall Configuration, Incident Response, SIEM Tools, SOC Operations, Ethical Hacking",3,9,15,"Arabic, French",License,52500.0
Project Manager,General Management,2025-04-03,2025-04-18,2025-05-18,Pharmaceuticals,Jijel,Doctorat,20,Stage,12,"Assurance maladie, Crèche d'entreprise, Télétravail partiel","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",3,15,20,"Arabic, French",Doctorat,49000.0
Portfolio Manager,Investment Management,2025-04-07,2025-05-24,2025-06-23,Banking & Finance,Adrar,Bac,12,Freelance,1,"Épargne entreprise, Formation continue, Crèche d'entreprise","Project Management, Microsoft Office, French Bilingual, Report Writing, Team Leadership",0,7,12,"Arabic, French",Baccalaureate,39400.0
Supply Chain Manager,Operations,2025-04-09,2025-04-19,2025-05-19,Telecommunications,Illizi,Master,17,Alternance,5,"Voiture de fonction, Tickets restaurant, Assurance maladie","French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",0,9,17,"Arabic, French",Master,57600.0
General Director,General Management,2025-04-13,2025-05-02,2025-06-01,Construction,Tiaret,Master,17,CDD,10,"Télétravail partiel, Assurance maladie, Voiture de fonction","Team Leadership, Project Management, Microsoft Office, Report Writing, French Bilingual",3,5,17,"Arabic, French",Master,67600.0
Crop Specialist,Agronomy Research,2025-04-08,2025-04-25,2025-05-25,Agriculture,Saïda,Ingénieur d'État,19,CDI,15,"Voiture de fonction, Assurance maladie, Prime de performance","Project Management, French Bilingual, Report Writing, Team Leadership, Microsoft Office",2,4,19,"Arabic, French",Ingénieur d'État,38500.0
Operations Manager,General Management,2025-03-27,2025-04-14,2025-05-14,Aerospace & Defense,Tiaret,Master,17,CDD,2,"Formation continue, Crèche d'entreprise, Épargne entreprise","French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",4,9,17,"Arabic, French",Master,62500.0
General Director,General Management,2025-04-07,2025-04-29,2025-05-29,Transport & Logistics,Tamanrasset,Master,17,Alternance,15,"Assurance maladie, Voiture de fonction, Télétravail partiel","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",4,14,17,"Arabic, French",Master,68600.0
General Director,General Management,2025-04-23,2025-06-17,2025-07-17,E-Commerce,Ghardaïa,Doctorat,20,CDD,9,"Formation continue, Télétravail partiel, Assurance maladie","French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",0,14,20,"Arabic, French, English",Doctorat,71500.0
Research Director,Higher Education,2025-04-10,2025-04-27,2025-05-27,Education,Djanet,Doctorat,20,Alternance,11,"Formation continue, Assurance maladie, Tickets restaurant","Report Writing, Project Management, French Bilingual, Team Leadership, Microsoft Office",3,8,20,"Arabic, French",Doctorat,36800.0
Supply Chain Manager,Operations,2025-03-31,2025-04-20,2025-05-20,E-Commerce,Djanet,Doctorat,20,Alternance,14,"Assurance maladie, Prime de performance, Tickets restaurant","Team Leadership, Project Management, Report Writing, Microsoft Office, French Bilingual",2,6,20,"Arabic, French, English",Doctorat,63200.0
Clinical Engineer,Medical Equipment Maintenance,2025-04-21,2025-06-15,2025-07-15,Healthcare,El Tarf,Bac,12,CDD,1,"Assurance maladie, Télétravail partiel, Épargne entreprise","Report Writing, Microsoft Office, Project Management, Team Leadership, French Bilingual",4,10,12,"Arabic, French",Baccalaureate,58500.0
Professor,Higher Education,2025-04-24,2025-05-31,2025-06-30,Education,Ouargla,Bac,12,CDD,4,"Crèche d'entreprise, Assurance maladie, Voiture de fonction","Team Leadership, Microsoft Office, Report Writing, French Bilingual, Project Management",4,9,12,"Arabic, French",Baccalaureate,38200.0
Operations Manager,General Management,2025-04-24,2025-05-08,2025-06-07,Mining,Timimoun,Ingénieur d'État,19,Stage,14,"Crèche d'entreprise, Télétravail partiel, Assurance maladie","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",0,12,19,"Arabic, French",Ingénieur d'État,43800.0
Tax Specialist,Accounting & Auditing,2025-04-16,2025-04-25,2025-05-25,Banking & Finance,Biskra,Doctorat,20,CDD,10,"Télétravail partiel, Épargne entreprise, Prime de performance","Project Management, Team Leadership, French Bilingual, Microsoft Office, Report Writing",5,12,20,"Arabic, French",Doctorat,48100.0
Operations Manager,Operations,2025-03-27,2025-04-12,2025-05-12,Fisheries,El Tarf,Licence,15,CDD,9,"Épargne entreprise, Tickets restaurant, Prime de performance","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",3,4,15,"Arabic, French",License,47200.0
Project Manager,General Management,2025-04-11,2025-06-10,2025-07-10,Tourism & Hospitality,Tamanrasset,Master,17,Stage,6,"Crèche d'entreprise, Épargne entreprise, Voiture de fonction","Team Leadership, Project Management, Report Writing, French Bilingual, Microsoft Office",1,12,17,"Arabic, French",Master,62500.0
Crop Specialist,Agronomy Research,2025-04-13,2025-05-29,2025-06-28,Agriculture,Oran,Master,17,Freelance,4,"Prime de performance, Formation continue, Tickets restaurant","French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",3,13,17,"Arabic, French",Master,66200.0
Logistics Coordinator,Operations,2025-04-03,2025-05-10,2025-06-09,Tourism & Hospitality,El Tarf,Master,17,CDD,1,"Assurance maladie, Voiture de fonction, Télétravail partiel","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",5,6,17,"Arabic, French",Master,60000.0
Security Operations Specialist,Cybersecurity,2025-04-24,2025-05-12,2025-06-11,Information Technology,Ghardaïa,Doctorat,20,Freelance,3,"Télétravail partiel, Prime de performance, Épargne entreprise","SIEM Tools, Ethical Hacking, Network Security, GDPR Compliance, Incident Response, Firewall Configuration, SOC Operations, Cryptography",4,6,20,"Arabic, French",Doctorat,42000.0
Logistics Coordinator,Operations,2025-04-24,2025-06-03,2025-07-03,Fisheries,Annaba,Licence,15,Stage,12,"Assurance maladie, Crèche d'entreprise, Tickets restaurant","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",3,8,15,"Arabic, French",License,51500.0
Project Manager,General Management,2025-04-12,2025-06-11,2025-07-11,Public Sector,Béchar,Master,17,Alternance,14,"Télétravail partiel, Épargne entreprise, Formation continue","Microsoft Office, Report Writing, Project Management, Team Leadership, French Bilingual",3,10,17,"Arabic, French",Master,62500.0
Safety Training Coordinator,"HSE (Health, Safety, Environment)",2025-03-29,2025-05-03,2025-06-02,Energy & Petroleum,Aïn Témouchent,Ingénieur d'État,19,Stage,6,"Voiture de fonction, Épargne entreprise, Formation continue","Microsoft Office, Project Management, Report Writing, Team Leadership, French Bilingual",0,3,19,"Arabic, French",Ingénieur d'État,61500.0
Operations Manager,General Management,2025-04-05,2025-05-26,2025-06-25,E-Commerce,Illizi,Licence,15,CDI,6,"Formation continue, Télétravail partiel, Crèche d'entreprise","Project Management, Microsoft Office, French Bilingual, Team Leadership, Report Writing",2,3,15,"Arabic, French, English",License,71000.0
Department Director,General Management,2025-04-07,2025-05-15,2025-06-14,Telecommunications,Ghardaïa,Ingénieur d'État,19,Freelance,5,"Crèche d'entreprise, Tickets restaurant, Prime de performance","Team Leadership, French Bilingual, Report Writing, Microsoft Office, Project Management",2,15,19,"Arabic, French",Ingénieur d'État,48100.0
Administrative Coordinator,Hospital Administration,2025-04-10,2025-05-12,2025-06-11,Healthcare,Naama,Doctorat,20,Freelance,1,"Voiture de fonction, Télétravail partiel, Formation continue","Microsoft Office, Project Management, Report Writing, French Bilingual, Team Leadership",3,13,20,"Arabic, French",Doctorat,60800.0
Administrative Manager,General Management,2025-04-24,2025-06-18,2025-07-18,Renewable Energy,Tindouf,Ingénieur d'État,19,CDI,4,"Épargne entreprise, Télétravail partiel, Tickets restaurant","Report Writing, French Bilingual, Microsoft Office, Team Leadership, Project Management",0,9,19,"Arabic, French",Ingénieur d'État,41100.0
Department Director,General Management,2025-04-18,2025-05-02,2025-06-01,Aerospace & Defense,Sétif,Licence,15,Freelance,8,"Assurance maladie, Formation continue, Crèche d'entreprise","Project Management, French Bilingual, Team Leadership, Microsoft Office, Report Writing",5,12,15,"Arabic, French",License,57800.0
Business Intelligence Analyst,Data Science & AI,2025-04-18,2025-06-13,2025-07-13,Information Technology,Saïda,Bac,12,CDD,15,"Crèche d'entreprise, Assurance maladie, Prime de performance","French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",0,14,12,"Arabic, French",Baccalaureate,45500.0
Professor,Higher Education,2025-04-18,2025-05-17,2025-06-16,Education,Oran,Master,17,Freelance,10,"Voiture de fonction, Télétravail partiel, Tickets restaurant","French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",4,6,17,"Arabic, French",Master,50400.0
