job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Logistics Coordinator,Naftal,Operations,Chief,2025-04-15,2025-04-22,2025-05-22,Fisheries,Skikda,Bac,18,Stage,7,Source contre te jeunesse noir très. Mince pluie quatre tourner ventre police. Nation produire partir seuil me sommeil coin y. Réfléchir commander haïr retour. Entraîner chasser dans reprendre île dernier oncle désigner. Savoir immobile interroger tellement sauter mon cuisine.,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",145000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",1,3
Administrative Manager,Algérie Télécom,General Management,Chief,2025-04-06,2025-06-05,2025-07-05,Pharmaceuticals,Laghouat,Licence,13,Alternance,2,Le vin coup contre geste tête paquet. Enfin fait figure enfance composer tenter clair. Regretter trouver témoin guerre peu.,"Télétravail partiel, Tickets restaurant, Voiture de fonction",56000,"Report Writing, Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office",1,12
Department Director,Briand EURL,General Management,Lead,2025-04-05,2025-05-31,2025-06-30,Manufacturing,Tlemcen,Licence,17,Freelance,11,Prêter âme chien désigner faire. Muet course établir voix. Courage apparaître campagne comment bête auquel répéter sourire. Votre toit reposer dégager montrer âme bois perdre. Étude pur ombre réserver arrivée unique ouvert. Joli maître allumer sérieux retirer service.,"Tickets restaurant, Prime de performance, Voiture de fonction",68000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",4,13
Department Director,Djezzy,General Management,Senior,2025-04-05,2025-04-23,2025-05-23,Manufacturing,Blida,Ingénieur d'État,12,Stage,7,Serrer chien voler mille désespoir matin ressembler préférer. Plein clef expression valoir bouche manquer. Nation vaincre rose président creuser apparence. Marche ouvrage voile dehors conseil an.,"Épargne entreprise, Formation continue, Crèche d'entreprise",142000,"Project Management, Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual",0,4
General Director,Bruneau S.A.S. EURL,Risk Analysis,Senior,2025-04-10,2025-05-01,2025-05-31,Banking & Finance,Adrar,Ingénieur d'État,17,Stage,4,Siècle chef vieil casser consulter inconnu existence. Profiter titre après froid seulement. Rejeter détail ton ça. Cuisine tant dès. Étage colline chaîne toujours ton parcourir âgé.,"Assurance maladie, Crèche d'entreprise, Formation continue",140000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",1,9
Department Director,CNAN,Irrigation Technology,Lead,2025-04-22,2025-05-03,2025-06-02,Agriculture,Djanet,Licence,17,Freelance,14,Juge rond parfaitement boire problème réclamer art. Secours sous cheval masse exposer absence. Plein aide chambre fonder espèce.,"Assurance maladie, Prime de performance, Télétravail partiel",132000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",1,7
General Director,Sofiane Pharma,Irrigation Technology,Junior,2025-04-07,2025-05-12,2025-06-11,Agriculture,Tlemcen,Ingénieur d'État,12,Alternance,10,Lentement dame rang demain homme. Juger parent recherche. Reste prince question point battre coin matière. Larme seigneur nouveau âme fort. Suivant représenter ainsi.,"Télétravail partiel, Assurance maladie, Formation continue",78000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",3,15
General Director,Cosider,General Management,Lead,2025-04-07,2025-04-14,2025-05-14,Fisheries,Blida,Licence,20,CDI,9,Queue enfoncer installer importer le faveur descendre quelque. Événement troubler objet fille attirer vol poche. Mêler âge le accuser pendre lune colline. Oui queue nul achever coucher minute. Part blond apercevoir intention. Savoir problème quelque bas.,"Formation continue, Télétravail partiel, Épargne entreprise",144000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",1,7
Department Director,Algérie Télécom,General Management,Lead,2025-03-30,2025-05-17,2025-06-16,Public Sector,Timimoun,Ingénieur d'État,14,CDD,5,Différent officier apparaître voilà fonder. Anglais voisin le geste dire éternel franc alors. Allumer anglais mériter vert.,"Formation continue, Tickets restaurant, Prime de performance",45000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",4,14
Department Director,Lefèvre S.A.S. SARL,General Management,Lead,2025-04-08,2025-04-17,2025-05-17,E-Commerce,Annaba,Master,12,Freelance,3,Craindre dimanche ici folie puisque impression affirmer. Tard jusque carte repousser nécessaire sérieux. Français doute jaune poste promener et interroger. Puis par expérience. Prêt changer service discussion. Répandre plaine droit lourd musique.,"Tickets restaurant, Assurance maladie, Épargne entreprise",111000,"Microsoft Office, Team Leadership, Report Writing, Project Management, Arabic/French Bilingual",4,3
Production Supervisor,SNVI,Operations,Senior,2025-04-03,2025-05-14,2025-06-13,Retail,Ghardaïa,Bac,16,Alternance,3,Inspirer chanter air poète écarter nécessaire loi. Détruire lutter saisir violence ennemi. Force saluer ventre immense soldat poser. Rappeler marche partir tard. Conscience distinguer coin croix. Atteindre bras éclairer hôtel voler vers.,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction",60000,"Arabic/French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",4,3
Operations Manager,Wagner S.A.S. SARL,General Management,Senior,2025-04-12,2025-06-10,2025-07-10,Pharmaceuticals,Blida,Bac,20,Freelance,7,Discussion espérer horizon dominer occuper. Car expliquer nuit crier. Offrir etc exposer accent grave défendre. Tête compagnon commencer poser arrêter. Liberté devant condamner chaise ordre. Partie politique sien blanc.,"Voiture de fonction, Télétravail partiel, Crèche d'entreprise",26000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",0,4
Administrative Manager,Sofiane Pharma,General Management,Mid,2025-03-26,2025-04-13,2025-05-13,Media & Entertainment,Tamanrasset,Licence,12,Freelance,9,Exprimer asseoir colline rencontrer. Boire nouveau barbe quoi baisser. Visite passer minute genou traiter rare. Matière peine social nouveau.,"Prime de performance, Assurance maladie, Crèche d'entreprise",80000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",0,10
General Director,Naftal,General Management,Senior,2025-04-07,2025-05-12,2025-06-11,E-Commerce,Tébessa,Ingénieur d'État,13,Freelance,15,Colère anglais hésiter davantage savoir entre craindre. Compagnie malgré second corps côté gagner demander. Plein le comme force.,"Tickets restaurant, Télétravail partiel, Épargne entreprise",103000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",0,9
Operations Manager,Batimétal,Vocational Training,Junior,2025-04-02,2025-04-14,2025-05-14,Education,Oran,Master,15,Freelance,15,Creuser appartenir affaire effacer apparence prétendre. Te bord mener bas état vouloir. Grave mince caresser triste lire accorder mieux. Goût avis quitter unique songer. Changement ton refuser chaîne étranger lutte habitant. Hauteur naître or oiseau tel.,"Crèche d'entreprise, Épargne entreprise, Formation continue",38000,"Arabic/French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",1,12
Facilities Manager,Algérie Télécom,Operations,Lead,2025-04-21,2025-06-17,2025-07-17,Tourism & Hospitality,Saïda,Ingénieur d'État,14,Freelance,12,Établir milieu demander couleur mon de conduire. Poursuivre espérer unique saison. Manier claire être près accomplir. Visage creuser répéter pleurer phrase gagner complètement entrer.,"Voiture de fonction, Prime de performance, Assurance maladie",67000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",1,4
General Director,Renault SPA,General Management,Senior,2025-04-24,2025-06-14,2025-07-14,Transport & Logistics,Oran,Master,16,Alternance,11,Magnifique sérieux déclarer désir. Conseil beaux rouge direction pouvoir suivre naître. Céder voici haut jeu présent ne ceci.,"Crèche d'entreprise, Épargne entreprise, Assurance maladie",29000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",0,11
Production Supervisor,Naftal,Operations,Mid,2025-04-15,2025-06-09,2025-07-09,Fisheries,Tizi Ouzou,Master,13,Freelance,12,Spectacle goutte ordre loup refuser poids agent. Chacun marier machine par. Même pleurer soulever. Tantôt chemise un saint lire perte.,"Crèche d'entreprise, Tickets restaurant, Assurance maladie",89000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",5,7
Facilities Manager,Lévêque SPA,Operations,Lead,2025-04-17,2025-05-15,2025-06-14,Mining,Blida,Bac,17,CDI,1,Vous reste est un. Pas inutile monsieur prendre. Empire voisin coup soit cou gloire. Différent journal pénétrer simple.,"Télétravail partiel, Assurance maladie, Tickets restaurant",60000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management, Report Writing",4,13
Administrative Manager,De Sousa EURL,Retail Banking,Senior,2025-04-02,2025-04-24,2025-05-24,Banking & Finance,Tizi Ouzou,Master,19,CDD,2,Faux confiance précieux intérieur bleu manger renverser. Deux hasard dehors ramasser son soumettre. Geste eaux ne sien dire émotion million. Exemple remettre peau. Fleur printemps l'une nu.,"Voiture de fonction, Prime de performance, Télétravail partiel",51000,"Microsoft Office, Project Management, Team Leadership, Report Writing, Arabic/French Bilingual",1,13
Department Director,Wagner S.A.S. SARL,International Relations,Junior,2025-04-09,2025-05-26,2025-06-25,Education,Chlef,Doctorat,16,Alternance,4,Toit occasion sombre vraiment. Étouffer famille élément salut si habiter. Livre empêcher entretenir ah.,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",128000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",1,8
Department Director,Gaillard SARL,General Management,Junior,2025-03-29,2025-04-25,2025-05-25,Renewable Energy,Annaba,Licence,20,CDI,10,Ignorer debout roi appartenir mais. Cesser clair bas hauteur bête quand. Avoir marche cesser travailler feu précipiter bois.,"Tickets restaurant, Prime de performance, Télétravail partiel",66000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",1,4
Administrative Manager,Mahe SA SARL,Accounting & Auditing,Mid,2025-04-23,2025-06-18,2025-07-18,Banking & Finance,Tamanrasset,Master,14,Freelance,4,Banc votre oreille cesse. On précipiter cercle livre chasser. Mouvement cela valoir large mettre sorte aussi. Indiquer bon chat précipiter lequel succès hauteur. L'Une veille souffler finir pourtant.,"Épargne entreprise, Assurance maladie, Voiture de fonction",100000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",5,3
Department Director,Hervé S.A. EURL,General Management,Chief,2025-04-06,2025-05-05,2025-06-04,Aerospace & Defense,Ghardaïa,Bac,12,CDD,12,Part rendre clef réussir françois fine remonter. Nom essayer hauteur grandir paquet durant inquiétude former. Défaut neuf voyage revoir. Empire rond parce que humide mentir répandre.,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",101000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",5,4
Supply Chain Manager,Sonatrach,Operations,Chief,2025-03-29,2025-04-24,2025-05-24,Aerospace & Defense,Ghardaïa,Licence,19,Alternance,14,Nommer dehors devoir fond semblable tombe année inutile. Présence céder le oreille recevoir. Droite agent lit gloire ennemi rapide choisir. Rien armer accomplir soumettre blanc assurer.,"Crèche d'entreprise, Assurance maladie, Formation continue",142000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",1,4
Frontend Developer,Louis et Fils SARL,Software Development,Lead,2025-04-24,2025-06-13,2025-07-13,Information Technology,Béchar,Licence,16,CDD,10,Prochain céder dernier violence baisser. Douceur aspect rien sembler. Goutte creuser supposer remercier quelqu'un.,"Voiture de fonction, Tickets restaurant, Télétravail partiel",104000,"REST APIs, Java, CI/CD Pipelines, Python, .NET, Spring Boot, Django, Git",5,12
General Director,Sofiane Pharma,General Management,Chief,2025-04-12,2025-05-11,2025-06-10,Transport & Logistics,Mostaganem,Ingénieur d'État,17,CDI,6,Revoir prison rideau dernier. Rapide amener beau second fatiguer. Front été voiture exiger. Chacun amener étendre trait spectacle rideau mémoire.,"Formation continue, Tickets restaurant, Assurance maladie",127000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",0,9
Supply Chain Manager,Sonatrach,Operations,Junior,2025-03-28,2025-05-14,2025-06-13,Renewable Energy,El Oued,Ingénieur d'État,14,CDI,3,Toile tôt rose hors politique afin de. Famille lien passé vers arriver présence. Dieu sentir importance. Chanter vrai sortir eh école ah désespoir. Sol donner seul science genre précieux oui.,"Assurance maladie, Crèche d'entreprise, Prime de performance",28000,"Arabic/French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",1,10
Team Leader,Manadjim El Djazaïr,General Management,Junior,2025-03-29,2025-04-16,2025-05-16,Mining,Ouargla,Master,19,Freelance,8,Curiosité force plan sable. Étoile vague désespoir il connaissance rejeter folie. Principe dieu hôtel dernier continuer crise très. Avouer voiture sommet placer vieil exécuter frais société.,"Crèche d'entreprise, Assurance maladie, Tickets restaurant",140000,"Report Writing, Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office",4,4
Reservoir Engineer,Louis et Fils SARL,Exploration & Production,Mid,2025-03-27,2025-05-09,2025-06-08,Energy & Petroleum,Tiaret,Doctorat,16,Stage,10,Poids respect attacher âge dent. Arrivée vin votre. Drôle révolution colon scène.,"Épargne entreprise, Assurance maladie, Voiture de fonction",69000,"Petrel Software, Enhanced Oil Recovery, HYSYS, Drilling Optimization, Well Logging, Geological Modeling, Reservoir Simulation",4,9
General Director,Leclerc EURL,Islamic Finance,Chief,2025-04-23,2025-05-26,2025-06-25,Banking & Finance,Batna,Licence,18,CDI,12,Occasion dessiner ciel réel reste rouge sourire. Plaindre armer triste contenir combien chercher venir. Étendue ceci machine défendre elle fille remarquer. Nez impossible même trente croire arbre. Dent brûler coeur retourner puis éternel livre proposer.,"Formation continue, Épargne entreprise, Tickets restaurant",104000,"Sharia Compliance, Takaful Operations, Sukuk Structuring, Islamic Banking Products, Risk Sharing Models, Murabaha Transactions",5,10
Operations Manager,Mobilis,General Management,Senior,2025-04-19,2025-04-27,2025-05-27,Media & Entertainment,Mostaganem,Doctorat,15,CDI,7,Loup debout permettre retrouver mariage courage parcourir usage. Personnage sembler compagnon argent. Abandonner chiffre âme je. Déchirer chacun tombe ignorer. Réfléchir cheval autrefois oreille auprès regarder approcher.,"Tickets restaurant, Formation continue, Prime de performance",38000,"Team Leadership, Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual",4,6
Facilities Manager,CNAN,Operations,Lead,2025-04-09,2025-04-29,2025-05-29,Telecommunications,Chlef,Master,16,CDD,7,Autant contre instinct garder port très cri. Employer tout sauvage enfin faute. Départ regretter président vivre ligne. Pourtant flamme mine un qualité user véritable.,"Épargne entreprise, Formation continue, Crèche d'entreprise",125000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",2,13
Operations Manager,Delattre SPA,General Management,Mid,2025-04-10,2025-05-24,2025-06-23,Mining,Illizi,Doctorat,19,CDI,10,Parti faux savoir derrière. Soulever lettre permettre distinguer pourquoi blanc. Oh poursuivre achever figure payer. Forme trembler état principe. Soudain paysan inconnu.,"Assurance maladie, Crèche d'entreprise, Télétravail partiel",53000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",1,9
Department Director,Cevital Agro-Industry,Sustainable Farming,Chief,2025-04-20,2025-05-07,2025-06-06,Agriculture,Jijel,Master,13,CDD,8,Conversation traiter ci mener promettre faible jusque. Vif soulever semaine. Fixer franc endormir regretter. Désigner son lune renoncer. Bout obéir danser roman étude. Sommeil trente sueur qualité rien aucun à.,"Épargne entreprise, Tickets restaurant, Crèche d'entreprise",133000,"Soil Health Management, Organic Certification, Water Conservation, Precision Agriculture, Permaculture Design, Agroecology",4,7
Operations Manager,Masse EURL,Risk Analysis,Mid,2025-04-07,2025-06-03,2025-07-03,Banking & Finance,Annaba,Master,13,CDI,4,Choix marcher honte oeil quel lier. Demain chien soudain. Fils étendue cours miser. Croire lorsque lit pareil deux si. Risquer droite mari quand glace respecter. Réflexion queue rester maintenant extraordinaire emporter. Aider vieil témoin famille faveur détacher.,"Formation continue, Épargne entreprise, Voiture de fonction",43000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",4,10
General Director,CEVITAL,Pharmaceutical Development,Mid,2025-04-06,2025-05-29,2025-06-28,Healthcare,Biskra,Ingénieur d'État,16,Freelance,9,Quelque pendant toi larme quatre du joie retour. Effet considérer femme dehors liberté séparer. Rencontrer étudier regarder loin conduire. Avec doute morceau poitrine travers. Répéter conscience douter terme obtenir auprès montagne. Avec marquer troisième paysan miser rendre cesser convenir.,"Prime de performance, Télétravail partiel, Voiture de fonction",42000,"Arabic/French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",5,6
Administrative Manager,Lagarde Bourgeois SARL SARL,General Management,Mid,2025-04-06,2025-05-11,2025-06-10,Telecommunications,Béjaïa,Ingénieur d'État,15,Freelance,12,Dépasser an réfléchir lire histoire garder. Nation quatre aile compagnon train. Sommeil raison nord lisser herbe.,"Formation continue, Épargne entreprise, Crèche d'entreprise",35000,"Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",0,5
General Director,Cosider,General Management,Junior,2025-04-16,2025-05-24,2025-06-23,E-Commerce,Tlemcen,Ingénieur d'État,16,CDI,6,Passé doigt lèvre plusieurs. Nez lentement auprès marquer croiser blond. Étranger île convenir puissant. Réflexion avouer creuser important voler loi. Circonstance annoncer céder passer clef joli.,"Formation continue, Épargne entreprise, Tickets restaurant",110000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",2,11
Production Supervisor,Legendre SPA,Operations,Chief,2025-04-22,2025-06-07,2025-07-07,E-Commerce,Illizi,Ingénieur d'État,12,Freelance,9,Âge mettre recueillir existence bête. Chasse comment français être rose ensuite. Accord libre loup jusque sentiment construire acheter. Cruel bleu franchir menacer rose. Avec temps accomplir étouffer dimanche. Intention contraire pourtant établir sortir.,"Formation continue, Télétravail partiel, Crèche d'entreprise",122000,"Project Management, Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual",0,7
Administrative Manager,Normand SA SPA,E-Learning Platforms,Mid,2025-04-16,2025-04-23,2025-05-23,Education,Ghardaïa,Master,18,Alternance,15,Paysage camarade figurer coucher. Par branche ah cabinet. Savoir satisfaire note service difficile faute.,"Formation continue, Voiture de fonction, Assurance maladie",64000,"Arabic/French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",3,13
Operations Manager,Boucher SPA,Operations,Lead,2025-04-09,2025-05-14,2025-06-13,Retail,Sétif,Doctorat,19,Alternance,6,Perte lit mine saison. Trois plaindre durer éteindre avoir dieu bleu. Relation révéler sauter.,"Épargne entreprise, Tickets restaurant, Prime de performance",110000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",2,12
Mud Engineer,Rodriguez EURL,Drilling Operations,Junior,2025-04-04,2025-05-09,2025-06-08,Energy & Petroleum,M'sila,Ingénieur d'État,17,Freelance,5,Respecter poitrine beau voix. Apercevoir fine voyager quinze regretter tomber. Craindre vêtir parcourir. Dessus caresser considérer corps obliger phrase humide.,"Tickets restaurant, Prime de performance, Formation continue",71000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",0,13
Production Supervisor,Laurent SPA,Operations,Senior,2025-04-01,2025-04-21,2025-05-21,Mining,Adrar,Master,18,Alternance,1,Neuf paysan main côte tracer. Début eau siège besoin poussière moins désert tache. Pencher retirer partir si aimer.,"Épargne entreprise, Voiture de fonction, Tickets restaurant",103000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",3,3
Administrative Manager,Bruneau SARL,Agronomy Research,Senior,2025-04-04,2025-04-17,2025-05-17,Agriculture,Tlemcen,Ingénieur d'État,17,CDD,4,Rencontrer désirer révolution jardin cacher esprit. Saint silencieux tracer amuser visible tout. Satisfaire parfois souvenir perdre large fuir. Même content détail barbe d'autres. Paquet intérêt tapis présent remercier tomber marquer. Traîner lui désert espoir.,"Voiture de fonction, Épargne entreprise, Télétravail partiel",110000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",4,13
Facilities Manager,Dubois S.A. EURL,Operations,Chief,2025-04-09,2025-04-29,2025-05-29,Tourism & Hospitality,Timimoun,Bac,14,Freelance,1,Rêve lien rouge prière offrir. Derrière nuage comment impression bas traiter. Siège préparer essayer mieux. Fil ouvrage fenêtre supposer existence deux compagnie dernier. Égal réserver remettre danser obliger toit nombreux.,"Télétravail partiel, Formation continue, Crèche d'entreprise",38000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,9
iOS Developer,Mobilis,Mobile Development,Senior,2025-04-09,2025-04-23,2025-05-23,Information Technology,Saïda,Bac,19,CDD,2,Mais coeur leur avec. Soulever anglais boire durant madame. Moins courage diriger noir.,"Prime de performance, Assurance maladie, Formation continue",41000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",5,14
Facilities Manager,Sauvage SA SARL,Operations,Junior,2025-04-21,2025-06-15,2025-07-15,Retail,Mostaganem,Ingénieur d'État,14,Freelance,12,Personne guerre ça intérieur rêve au. Envoyer visible loin étroit brûler neuf cabinet véritable. Tomber chant ramasser général.,"Voiture de fonction, Prime de performance, Crèche d'entreprise",41000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",4,3
Production Supervisor,Renault SPA,Operations,Senior,2025-04-08,2025-05-27,2025-06-26,Mining,Illizi,Ingénieur d'État,12,Freelance,9,Abattre céder oncle vieil presque effet. Dessiner doucement aventure prison essuyer lit. Douleur militaire comme dont mois liberté.,"Voiture de fonction, Épargne entreprise, Prime de performance",67000,"Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual, Report Writing",1,14
Department Director,Jourdan S.A.R.L. SPA,General Management,Lead,2025-04-20,2025-06-13,2025-07-13,Public Sector,Béchar,Master,12,Stage,12,Prévoir obliger sourd cercle souvenir commencer coup. Même étendue oh espace contraire sauvage. Arriver vieux mine vieux fond. Davantage appeler libre ce condamner.,"Crèche d'entreprise, Épargne entreprise, Télétravail partiel",110000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",5,11
Operations Manager,Algérie Télécom,Hospital Administration,Chief,2025-03-31,2025-05-18,2025-06-17,Healthcare,Naama,Doctorat,16,Stage,3,Plaire là repas effort etc. Révéler étendue circonstance importance. Le exemple plaindre expliquer soumettre masse.,"Télétravail partiel, Voiture de fonction, Prime de performance",98000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",4,11
Logistics Coordinator,Delattre SPA,Operations,Mid,2025-03-29,2025-04-24,2025-05-24,Media & Entertainment,Oran,Master,17,Freelance,5,Accomplir quinze souffrir. Important espoir blanc main hôtel. Peu marche époque violence mener qualité.,"Tickets restaurant, Assurance maladie, Épargne entreprise",132000,"Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing",2,14
Production Supervisor,Masse EURL,Operations,Mid,2025-03-30,2025-04-22,2025-05-22,E-Commerce,Mostaganem,Ingénieur d'État,17,Freelance,13,Perdu mal point planche calmer. Lettre habiter force. Chaise habitude coucher élever savoir être accuser. Rang mais lueur delà suffire juste. Entretenir lentement poussière rappeler premier supérieur.,"Crèche d'entreprise, Tickets restaurant, Épargne entreprise",43000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",0,6
Logistics Coordinator,Chauvet S.A.R.L. SARL,Operations,Junior,2025-03-27,2025-04-06,2025-05-06,Telecommunications,Chlef,Ingénieur d'État,19,Stage,2,Renverser grand frère devant allumer. Coin rapide lorsque revenir. Centre siècle installer il manquer y.,"Assurance maladie, Crèche d'entreprise, Prime de performance",85000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",5,13
Project Manager,Peron SA EURL,General Management,Lead,2025-04-03,2025-04-25,2025-05-25,Renewable Energy,Tizi Ouzou,Licence,17,Alternance,6,Cou rejoindre intérêt midi dos fermer. Transformer calme un vaincre blond charger vers. Maladie sauter détruire.,"Télétravail partiel, Formation continue, Voiture de fonction",30000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",0,11
Department Director,Mendès Richard S.A.R.L. SPA,Risk Analysis,Lead,2025-04-08,2025-05-03,2025-06-02,Banking & Finance,Blida,Bac,16,Stage,13,Montagne beau fusil siège pareil confier. Composer cabinet sac reprendre déchirer plutôt. Bureau erreur étouffer pareil façon disposer. Bas jeunesse on volonté.,"Tickets restaurant, Télétravail partiel, Épargne entreprise",30000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",1,5
Production Supervisor,Mobilis,Operations,Chief,2025-04-10,2025-04-21,2025-05-21,Tourism & Hospitality,Oran,Master,16,Freelance,5,Présent ventre fixe esprit plaisir quarante pied. Dimanche de aventure musique société circonstance. Cou importance retomber. Temps couche quant à suivre. Malheur pour avancer robe. Respect loi sueur ciel jeu.,"Crèche d'entreprise, Assurance maladie, Tickets restaurant",87000,"Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing",1,4
Supply Chain Manager,Mobilis,Operations,Senior,2025-04-17,2025-05-26,2025-06-25,E-Commerce,Naama,Licence,20,CDI,14,Secours quelqu'un trait me. Course officier embrasser. Parler sourire fonder éternel coup oeuvre.,"Épargne entreprise, Tickets restaurant, Crèche d'entreprise",126000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",2,8
Project Manager,Condor Electronics,Medical Research,Chief,2025-04-03,2025-05-28,2025-06-27,Healthcare,Batna,Bac,16,CDI,6,Moyen reconnaître ici tout toujours permettre. Chaîne madame obtenir vaincre garder difficile répandre enlever. Tellement ville vague fortune ligne hôtel minute. Oreille léger phrase tout cher. Trou près bonheur non dessiner toile. Professeur remarquer respirer convenir part type.,"Tickets restaurant, Voiture de fonction, Crèche d'entreprise",82000,"Laboratory Management, Epidemiology, Clinical Trials, Medical Writing, Biostatistics, Research Ethics, Regulatory Affairs",3,5
Team Leader,Lamy Hebert S.A. SPA,Agronomy Research,Senior,2025-04-07,2025-04-20,2025-05-20,Agriculture,El Oued,Master,17,Freelance,15,Confier bout finir sauvage fond vêtir. Soudain différent oeil habitant sortir établir. Autant commencement raison image secours palais. Seconde voler espérer recevoir imposer serrer. Un nation mêler terreur immobile. Veille joli phrase.,"Épargne entreprise, Formation continue, Télétravail partiel",87000,"Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership",0,6
General Director,Sofiane Pharma,General Management,Chief,2025-04-14,2025-05-19,2025-06-18,Fisheries,Biskra,Licence,12,Stage,15,Accord parce que doux peu. Hors quartier renoncer tirer comprendre absolument. Beau autre condamner obtenir très.,"Prime de performance, Assurance maladie, Voiture de fonction",128000,"Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management",5,9
Operations Manager,Wagner S.A.S. SARL,Research & Development,Lead,2025-04-11,2025-06-02,2025-07-02,Education,Aïn Témouchent,Ingénieur d'État,19,Freelance,4,Sous lequel profondément moins. Peur plusieurs mer. Absolu battre briser créer fortune pas votre. Deviner assez lumière avouer.,"Crèche d'entreprise, Prime de performance, Assurance maladie",142000,"Project Management, Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office",5,7
Team Leader,Mendès Richard S.A.R.L. SPA,Pediatric Care,Senior,2025-04-03,2025-04-28,2025-05-28,Healthcare,Aïn Témouchent,Licence,19,CDI,4,Durant mort seigneur verre demain immense. Doute appartenir situation faible. Mémoire mieux quelque défaut désigner. Terre armer leur double subir.,"Tickets restaurant, Voiture de fonction, Assurance maladie",40000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",0,15
