job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Safety Training Coordinator,Maurice Hoareau et Fils SPA,"HSE (Health, Safety, Environment)",Lead,2025-04-20,2025-06-04,Energy & Petroleum,Tlemcen,Ingénieur d'État,CDD,11,"Formation continue, Prime de performance, Tickets restaurant",111000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",2,13
General Director,CEVITAL,General Management,Senior,2025-04-09,2025-06-14,Renewable Energy,Ghardaïa,Doctorat,Alternance,1,"Télétravail partiel, Formation continue, Tickets restaurant",73000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",1,12
Operations Manager,Mobilis,Operations,Chief,2025-04-19,2025-05-30,E-Commerce,Mostaganem,Bac,Stage,6,"Télétravail partiel, Épargne entreprise, Assurance maladie",72000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",4,12
General Director,Olivier SPA,General Management,Chief,2025-03-30,2025-06-25,Tourism & Hospitality,El Oued,Ingénieur d'État,Stage,12,"Télétravail partiel, Épargne entreprise, Tickets restaurant",88000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",1,8
Operations Manager,Olivier SPA,Operations,Chief,2025-04-03,2025-06-07,Mining,Jijel,Licence,Freelance,8,"Épargne entreprise, Télétravail partiel, Prime de performance",44000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",4,6
General Director,Djezzy,General Management,Lead,2025-04-17,2025-06-13,E-Commerce,Timimoun,Bac,Stage,5,"Épargne entreprise, Télétravail partiel, Voiture de fonction",144000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",2,8
General Director,Seguin et Fils EURL,General Management,Junior,2025-03-29,2025-06-20,Aerospace & Defense,Oran,Master,Alternance,15,"Assurance maladie, Formation continue, Épargne entreprise",141000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",5,8
Supply Chain Manager,Bertrand Caron SA SPA,Operations,Lead,2025-04-19,2025-06-21,Manufacturing,Laghouat,Licence,Freelance,4,"Tickets restaurant, Formation continue, Assurance maladie",96000,"Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management",0,15
Department Director,Gilbert SA SPA,General Management,Chief,2025-03-31,2025-06-08,Pharmaceuticals,Tiaret,Master,Stage,11,"Assurance maladie, Prime de performance, Épargne entreprise",125000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",1,10
Logistics Coordinator,Cevital Agro-Industry,Operations,Chief,2025-03-26,2025-06-13,Mining,Constantine,Bac,CDI,12,"Épargne entreprise, Télétravail partiel, Assurance maladie",77000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,14
Administrative Manager,Besnard SARL SPA,General Management,Chief,2025-03-29,2025-05-10,Renewable Energy,Oran,Bac,CDD,5,"Crèche d'entreprise, Prime de performance, Voiture de fonction",109000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",1,9
Facilities Manager,Bertrand Caron SA SPA,Operations,Mid,2025-04-02,2025-06-07,Media & Entertainment,In Salah,Ingénieur d'État,Freelance,2,"Tickets restaurant, Crèche d'entreprise, Prime de performance",113000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",0,11
Logistics Coordinator,Boutin S.A. SARL,Operations,Mid,2025-04-23,2025-05-30,E-Commerce,Illizi,Ingénieur d'État,Alternance,12,"Épargne entreprise, Assurance maladie, Formation continue",130000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",3,3
Administrative Manager,Blanchard SPA,General Management,Mid,2025-04-13,2025-06-14,Construction,Béchar,Master,Freelance,8,"Crèche d'entreprise, Prime de performance, Tickets restaurant",108000,"Microsoft Office, Project Management, Report Writing, Arabic/French Bilingual, Team Leadership",0,15
Project Manager,CNAN,General Management,Junior,2025-04-10,2025-06-12,Retail,Béchar,Doctorat,CDD,11,"Épargne entreprise, Prime de performance, Télétravail partiel",141000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",2,13
Team Leader,Sofiane Pharma,Medical Equipment Maintenance,Senior,2025-04-24,2025-07-21,Healthcare,Jijel,Doctorat,Stage,2,"Tickets restaurant, Formation continue, Assurance maladie",46000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",1,12
Wellsite Manager,Philippe Dias SARL EURL,Drilling Operations,Lead,2025-04-17,2025-07-14,Energy & Petroleum,In Salah,Master,Stage,15,"Voiture de fonction, Télétravail partiel, Tickets restaurant",80000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",5,3
Production Supervisor,Lefèvre Couturier S.A.R.L. EURL,Operations,Lead,2025-03-29,2025-06-20,Transport & Logistics,Timimoun,Master,Stage,14,"Formation continue, Crèche d'entreprise, Épargne entreprise",141000,"Project Management, Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual",0,11
Department Director,Pichon Maury S.A.S. SPA,General Management,Lead,2025-04-12,2025-06-03,Fisheries,Naama,Master,Freelance,5,"Prime de performance, Tickets restaurant, Crèche d'entreprise",50000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",5,13
Team Leader,Camus S.A.R.L. SARL,Food Processing,Senior,2025-04-08,2025-06-13,Agriculture,M'sila,Bac,Alternance,2,"Voiture de fonction, Assurance maladie, Tickets restaurant",62000,"Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",1,7
Production Supervisor,Bertrand Caron SA SPA,Operations,Mid,2025-04-05,2025-06-18,Fisheries,El Oued,Licence,Alternance,1,"Tickets restaurant, Formation continue, Épargne entreprise",81000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",3,10
Supply Chain Manager,Ooredoo Algeria,Operations,Mid,2025-04-05,2025-05-28,Public Sector,Tlemcen,Doctorat,Stage,4,"Crèche d'entreprise, Tickets restaurant, Épargne entreprise",61000,"Team Leadership, Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual",4,6
Operations Manager,Air Algérie,Clinical Operations,Junior,2025-03-30,2025-06-11,Healthcare,Batna,Master,CDD,4,"Formation continue, Tickets restaurant, Assurance maladie",45000,"Microsoft Office, Team Leadership, Report Writing, Project Management, Arabic/French Bilingual",3,11
Mobile UX Designer,Lefèvre Couturier S.A.R.L. EURL,Mobile Development,Chief,2025-04-23,2025-07-10,Information Technology,Chlef,Ingénieur d'État,CDI,9,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",94000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",4,9
Production Supervisor,Loiseau et Fils EURL,Operations,Chief,2025-04-17,2025-06-08,Tourism & Hospitality,Saïda,Licence,CDD,5,"Formation continue, Prime de performance, Voiture de fonction",103000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",5,10
AI Researcher,Lévêque SARL,Data Science & AI,Junior,2025-03-31,2025-06-25,Information Technology,Constantine,Doctorat,CDI,8,"Voiture de fonction, Assurance maladie, Formation continue",97000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",2,10
Supply Chain Manager,Bigot Henry SARL EURL,Operations,Mid,2025-03-28,2025-06-02,Aerospace & Defense,Timimoun,Master,Stage,4,"Prime de performance, Télétravail partiel, Tickets restaurant",26000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",2,7
Supply Chain Manager,Duhamel S.A.R.L. SPA,Operations,Chief,2025-04-19,2025-05-28,Tourism & Hospitality,Biskra,Bac,Freelance,1,"Prime de performance, Formation continue, Assurance maladie",47000,"Microsoft Office, Project Management, Team Leadership, Report Writing, Arabic/French Bilingual",4,12
Operations Manager,Pichon Maury S.A.S. SPA,Medical Equipment Maintenance,Chief,2025-04-01,2025-05-15,Healthcare,El Oued,Master,Stage,7,"Crèche d'entreprise, Formation continue, Épargne entreprise",146000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",5,10
Mobile App Developer,Sanchez SARL EURL,Mobile Development,Chief,2025-03-26,2025-06-19,Information Technology,Tlemcen,Doctorat,CDD,1,"Formation continue, Assurance maladie, Prime de performance",129000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",5,11
Supply Chain Manager,Sauvage SARL,Operations,Lead,2025-04-03,2025-06-14,Fisheries,Constantine,Doctorat,Stage,11,"Épargne entreprise, Voiture de fonction, Formation continue",56000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",5,4
Administrative Manager,Batimétal,Risk Analysis,Chief,2025-04-23,2025-06-30,Banking & Finance,Tamanrasset,Bac,CDD,13,"Crèche d'entreprise, Formation continue, Télétravail partiel",136000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",1,5
Department Director,Cevital Agro-Industry,General Management,Lead,2025-04-10,2025-07-01,E-Commerce,Timimoun,Master,Alternance,12,"Épargne entreprise, Voiture de fonction, Assurance maladie",52000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",0,3
Production Supervisor,Maurice EURL,Operations,Lead,2025-04-18,2025-06-19,Pharmaceuticals,Algiers,Ingénieur d'État,Stage,15,"Télétravail partiel, Formation continue, Crèche d'entreprise",91000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",4,7
Team Leader,Duhamel S.A.R.L. SPA,General Management,Junior,2025-03-30,2025-05-30,Renewable Energy,Tizi Ouzou,Bac,CDI,4,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",119000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",4,5
Operations Manager,Sonatrach,Agronomy Research,Junior,2025-03-30,2025-06-20,Agriculture,Ouargla,Licence,Alternance,3,"Prime de performance, Voiture de fonction, Épargne entreprise",124000,"Arabic/French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",0,9
Operations Manager,Camus S.A.R.L. SARL,Operations,Lead,2025-04-14,2025-06-08,Fisheries,Tindouf,Bac,Alternance,4,"Formation continue, Prime de performance, Voiture de fonction",137000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,11
Administrative Manager,Manadjim El Djazaïr,Risk Analysis,Senior,2025-03-26,2025-05-20,Banking & Finance,Timimoun,Licence,Alternance,6,"Télétravail partiel, Assurance maladie, Tickets restaurant",42000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",3,15
Logistics Coordinator,Gilbert SA SPA,Operations,Chief,2025-04-10,2025-07-01,Mining,Blida,Doctorat,Stage,4,"Prime de performance, Épargne entreprise, Assurance maladie",43000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",2,3
Operations Manager,Leclercq SPA,General Management,Junior,2025-04-01,2025-05-19,Construction,Skikda,Licence,Freelance,15,"Voiture de fonction, Épargne entreprise, Prime de performance",101000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",4,10
Mud Engineer,Duhamel S.A.R.L. SPA,Drilling Operations,Chief,2025-04-11,2025-06-16,Energy & Petroleum,Laghouat,Licence,Stage,6,"Formation continue, Tickets restaurant, Crèche d'entreprise",69000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",2,7
Team Leader,Seguin et Fils EURL,Hospital Administration,Mid,2025-04-04,2025-06-17,Healthcare,Blida,Licence,CDD,13,"Prime de performance, Télétravail partiel, Crèche d'entreprise",61000,"Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership",2,8
Production Supervisor,ENIE,Operations,Lead,2025-04-08,2025-07-03,Fisheries,El Oued,Master,Alternance,3,"Crèche d'entreprise, Formation continue, Tickets restaurant",99000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",4,3
Production Supervisor,Ruiz SARL,Operations,Mid,2025-04-02,2025-06-05,Transport & Logistics,Ghardaïa,Licence,CDD,2,"Assurance maladie, Prime de performance, Voiture de fonction",71000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",1,5
Department Director,Cevital Agro-Industry,E-Learning Platforms,Mid,2025-04-12,2025-06-24,Education,Tébessa,Licence,CDD,8,"Épargne entreprise, Crèche d'entreprise, Voiture de fonction",138000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",1,15
Logistics Coordinator,Cevital Agro-Industry,Operations,Junior,2025-04-04,2025-06-13,Retail,Béjaïa,Ingénieur d'État,Alternance,8,"Télétravail partiel, Voiture de fonction, Tickets restaurant",131000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",1,15
General Director,Maurice EURL,General Management,Senior,2025-04-19,2025-06-14,Transport & Logistics,Ghardaïa,Bac,CDD,7,"Prime de performance, Voiture de fonction, Assurance maladie",132000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",5,5
Supply Chain Manager,Lebreton EURL,Operations,Senior,2025-04-01,2025-06-03,E-Commerce,In Salah,Doctorat,CDD,11,"Voiture de fonction, Crèche d'entreprise, Épargne entreprise",29000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",4,3
Team Leader,Gilbert SA SPA,General Management,Lead,2025-04-15,2025-06-01,Transport & Logistics,Laghouat,Bac,CDD,7,"Télétravail partiel, Formation continue, Crèche d'entreprise",48000,"Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership",3,5
Operations Manager,Ooredoo Algeria,Export Operations,Chief,2025-04-13,2025-05-28,Agriculture,Algiers,Master,CDI,14,"Épargne entreprise, Crèche d'entreprise, Voiture de fonction",75000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",5,4
Administrative Manager,Ooredoo Algeria,Sustainable Farming,Lead,2025-04-13,2025-05-27,Agriculture,Béjaïa,Doctorat,Freelance,3,"Formation continue, Tickets restaurant, Voiture de fonction",104000,"Soil Health Management, Organic Certification, Permaculture Design, Water Conservation, Precision Agriculture, Agroecology",1,14
Supply Chain Manager,Gautier SARL,Operations,Mid,2025-04-12,2025-06-07,Retail,Béjaïa,Bac,CDD,15,"Voiture de fonction, Crèche d'entreprise, Prime de performance",101000,"Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership",4,9
Department Director,Pereira SARL,General Management,Senior,2025-04-07,2025-06-29,Aerospace & Defense,Skikda,Bac,Stage,5,"Formation continue, Crèche d'entreprise, Assurance maladie",85000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",4,13
Systems Administrator,Sanchez SARL EURL,Cloud Infrastructure,Junior,2025-04-23,2025-07-09,Information Technology,El Oued,Bac,Alternance,15,"Épargne entreprise, Voiture de fonction, Prime de performance",123000,"Team Leadership, Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office",5,11
Operations Manager,Gomez SARL,Operations,Chief,2025-04-20,2025-07-04,Telecommunications,Naama,Ingénieur d'État,Freelance,6,"Crèche d'entreprise, Télétravail partiel, Assurance maladie",109000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",4,4
General Director,Manadjim El Djazaïr,General Management,Junior,2025-04-14,2025-06-14,Telecommunications,Oran,Master,CDD,2,"Crèche d'entreprise, Assurance maladie, Voiture de fonction",75000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",0,7
Pipeline Engineer,Ruiz SARL,Pipeline Management,Junior,2025-04-05,2025-06-20,Energy & Petroleum,Tébessa,Ingénieur d'État,Freelance,9,"Crèche d'entreprise, Assurance maladie, Tickets restaurant",41000,"Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing",4,5
Operations Manager,Olivier SPA,Sustainable Farming,Senior,2025-04-14,2025-06-15,Agriculture,Djanet,Ingénieur d'État,Stage,7,"Tickets restaurant, Crèche d'entreprise, Télétravail partiel",82000,"Precision Agriculture, Organic Certification, Water Conservation, Agroecology, Soil Health Management, Permaculture Design",0,13
Supply Chain Manager,SNVI,Operations,Mid,2025-04-16,2025-06-19,Aerospace & Defense,Algiers,Bac,Alternance,5,"Télétravail partiel, Formation continue, Assurance maladie",140000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",3,6
General Director,Algérie Télécom,General Management,Mid,2025-04-20,2025-07-15,Public Sector,M'sila,Ingénieur d'État,Stage,3,"Voiture de fonction, Télétravail partiel, Tickets restaurant",95000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",4,12
Department Director,Sonatrach,General Management,Chief,2025-04-20,2025-07-09,Manufacturing,El Oued,Bac,Alternance,11,"Crèche d'entreprise, Prime de performance, Voiture de fonction",108000,"Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership",0,14
Operations Manager,Philippe Dias SARL EURL,General Management,Lead,2025-04-10,2025-05-31,E-Commerce,Djanet,Ingénieur d'État,Alternance,10,"Voiture de fonction, Assurance maladie, Formation continue",110000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",1,11
Project Manager,Sonalgaz,Accounting & Auditing,Lead,2025-04-15,2025-06-23,Banking & Finance,Béchar,Master,Stage,15,"Prime de performance, Épargne entreprise, Crèche d'entreprise",117000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",2,12
General Director,Schmitt SARL EURL,General Management,Senior,2025-04-14,2025-06-25,Fisheries,Oran,Doctorat,Alternance,2,"Télétravail partiel, Épargne entreprise, Formation continue",63000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",5,3
Production Supervisor,Sonalgaz,Operations,Senior,2025-04-16,2025-07-01,Mining,Tébessa,Master,Alternance,8,"Voiture de fonction, Épargne entreprise, Prime de performance",146000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",2,3
Environmental Compliance Officer,Boulanger S.A. SPA,"HSE (Health, Safety, Environment)",Junior,2025-03-31,2025-05-30,Energy & Petroleum,Skikda,Bac,Alternance,1,"Tickets restaurant, Crèche d'entreprise, Prime de performance",104000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management, Report Writing",2,4
Team Leader,Ruiz SARL,E-Learning Platforms,Mid,2025-04-16,2025-06-22,Education,Aïn Témouchent,Master,Stage,15,"Crèche d'entreprise, Épargne entreprise, Formation continue",73000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",4,11
Team Leader,Lebreton EURL,General Management,Chief,2025-04-09,2025-06-07,Aerospace & Defense,Mostaganem,Doctorat,Alternance,6,"Épargne entreprise, Télétravail partiel, Formation continue",57000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",4,12
Project Manager,Bigot Henry SARL EURL,Medical Equipment Maintenance,Junior,2025-04-03,2025-06-23,Healthcare,Djanet,Licence,Freelance,14,"Épargne entreprise, Formation continue, Tickets restaurant",39000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",1,15
Facilities Manager,BNA,Operations,Lead,2025-04-16,2025-06-27,Pharmaceuticals,Blida,Ingénieur d'État,Alternance,12,"Épargne entreprise, Télétravail partiel, Assurance maladie",27000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",1,6
General Director,Gauthier SARL,General Management,Junior,2025-04-05,2025-05-27,Renewable Energy,Jijel,Bac,CDI,10,"Formation continue, Tickets restaurant, Assurance maladie",90000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",2,9
Operations Manager,Seguin et Fils EURL,General Management,Lead,2025-03-28,2025-06-16,Mining,Algiers,Doctorat,Freelance,8,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",82000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",3,7
Team Leader,Mendès EURL,General Management,Senior,2025-04-14,2025-05-31,Pharmaceuticals,Tamanrasset,Licence,CDI,2,"Crèche d'entreprise, Télétravail partiel, Formation continue",115000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",1,8
Administrative Manager,Pereira SARL,Irrigation Technology,Senior,2025-03-31,2025-06-23,Agriculture,Aïn Témouchent,Doctorat,Freelance,12,"Télétravail partiel, Prime de performance, Formation continue",135000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",5,4
Production Supervisor,Buisson SPA,Operations,Lead,2025-04-10,2025-07-06,Manufacturing,Skikda,Ingénieur d'État,Alternance,3,"Tickets restaurant, Formation continue, Assurance maladie",119000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",3,14
General Director,Sonalgaz,Investment Management,Mid,2025-03-30,2025-06-07,Banking & Finance,El Tarf,Doctorat,Alternance,14,"Prime de performance, Formation continue, Télétravail partiel",103000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,14
Project Manager,Algérie Télécom,General Management,Senior,2025-03-28,2025-06-07,Tourism & Hospitality,Mostaganem,Bac,Freelance,7,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",97000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",3,4
Operations Manager,Sonalgaz,Operations,Chief,2025-04-14,2025-06-30,Pharmaceuticals,El Oued,Doctorat,CDD,10,"Prime de performance, Formation continue, Voiture de fonction",97000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",5,10
Project Manager,Marchal S.A.S. SPA,Pipeline Management,Mid,2025-04-15,2025-06-06,Energy & Petroleum,Skikda,Ingénieur d'État,Stage,4,"Formation continue, Prime de performance, Assurance maladie",65000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",0,13
Operations Manager,Olivier SPA,Operations,Junior,2025-04-14,2025-06-08,Tourism & Hospitality,Skikda,Doctorat,CDI,1,"Voiture de fonction, Tickets restaurant, Télétravail partiel",138000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",2,10
Facilities Manager,Pascal EURL,Operations,Lead,2025-04-08,2025-05-22,Renewable Energy,Annaba,Licence,CDI,12,"Prime de performance, Tickets restaurant, Voiture de fonction",77000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",1,7
Operations Manager,Boutin S.A. SARL,General Management,Junior,2025-04-10,2025-07-06,Telecommunications,Tiaret,Master,Stage,10,"Crèche d'entreprise, Voiture de fonction, Assurance maladie",142000,"Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership",2,9
Administrative Manager,Bertrand Caron SA SPA,Clinical Operations,Chief,2025-04-15,2025-07-13,Healthcare,Timimoun,Doctorat,Freelance,2,"Formation continue, Crèche d'entreprise, Assurance maladie",47000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",2,6
Logistics Coordinator,Schmitt SARL EURL,Operations,Mid,2025-04-02,2025-05-29,Mining,Laghouat,Bac,CDI,4,"Télétravail partiel, Épargne entreprise, Prime de performance",53000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",4,14
Security Operations Specialist,Blanchard SPA,Cybersecurity,Lead,2025-04-10,2025-06-09,Information Technology,Timimoun,Doctorat,Alternance,3,"Prime de performance, Formation continue, Crèche d'entreprise",45000,"Firewall Configuration, GDPR Compliance, Incident Response, Cryptography, SIEM Tools, Network Security, Ethical Hacking, SOC Operations",0,12
Operations Manager,Olivier SPA,General Management,Lead,2025-04-18,2025-05-25,Pharmaceuticals,Laghouat,Licence,CDI,15,"Prime de performance, Voiture de fonction, Télétravail partiel",52000,"Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing",4,9
Administrative Manager,Air Algérie,General Management,Senior,2025-04-13,2025-05-21,E-Commerce,Timimoun,Master,CDD,2,"Télétravail partiel, Voiture de fonction, Assurance maladie",39000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",5,6
Supply Chain Manager,Naftal,Operations,Mid,2025-04-11,2025-06-10,Renewable Energy,Jijel,Bac,Freelance,7,"Crèche d'entreprise, Télétravail partiel, Épargne entreprise",95000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",4,3
Operations Manager,Schmitt SARL EURL,General Management,Mid,2025-04-20,2025-05-30,Telecommunications,Biskra,Master,CDI,7,"Prime de performance, Épargne entreprise, Télétravail partiel",53000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",3,11
Production Supervisor,Delmas S.A. EURL,Operations,Lead,2025-03-27,2025-06-06,Media & Entertainment,Aïn Témouchent,Master,Stage,13,"Assurance maladie, Voiture de fonction, Prime de performance",48000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",4,14
Supply Chain Manager,Duhamel S.A.R.L. SPA,Operations,Junior,2025-04-05,2025-05-18,Public Sector,Chlef,Bac,CDD,4,"Voiture de fonction, Assurance maladie, Tickets restaurant",34000,"Arabic/French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",2,10
Team Leader,Lefèvre Couturier S.A.R.L. EURL,FinTech Innovation,Chief,2025-04-05,2025-05-20,Banking & Finance,Ouargla,Doctorat,Stage,5,"Assurance maladie, Voiture de fonction, Télétravail partiel",73000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",3,3
Project Manager,Lucas SPA,Export Operations,Lead,2025-04-18,2025-06-02,Agriculture,Annaba,Licence,Alternance,8,"Télétravail partiel, Tickets restaurant, Assurance maladie",133000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",4,7
Operations Manager,Gomez SARL,Operations,Senior,2025-03-26,2025-05-03,Tourism & Hospitality,Tiaret,Bac,Freelance,9,"Crèche d'entreprise, Assurance maladie, Formation continue",105000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",4,15
Operations Manager,Loiseau et Fils EURL,E-Learning Platforms,Senior,2025-04-14,2025-06-14,Education,El Tarf,Bac,CDD,6,"Crèche d'entreprise, Prime de performance, Télétravail partiel",39000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",0,14
Administrative Manager,Manadjim El Djazaïr,General Management,Junior,2025-03-30,2025-06-25,Transport & Logistics,Djanet,Ingénieur d'État,Alternance,8,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",84000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",3,12
General Director,Sanchez SARL EURL,General Management,Senior,2025-04-10,2025-07-03,Fisheries,Laghouat,Master,CDI,11,"Formation continue, Crèche d'entreprise, Télétravail partiel",53000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",5,14
Facilities Manager,Joseph SARL,Operations,Chief,2025-04-03,2025-06-10,Fisheries,Oran,Licence,CDD,13,"Assurance maladie, Télétravail partiel, Voiture de fonction",49000,"Microsoft Office, Report Writing, Team Leadership, Project Management, Arabic/French Bilingual",4,4
Logistics Coordinator,Lucas EURL,Operations,Mid,2025-04-18,2025-07-04,Transport & Logistics,Tlemcen,Doctorat,Stage,6,"Voiture de fonction, Assurance maladie, Télétravail partiel",142000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",0,8
Administrative Manager,Pascal EURL,General Management,Mid,2025-04-20,2025-06-01,E-Commerce,Tiaret,Doctorat,Freelance,12,"Prime de performance, Formation continue, Voiture de fonction",106000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",2,8
